epoch,train_loss,loss,test_loss,test_acc,val_acc,optimizer,elapsed_seconds
1,1.180767333094279,1.180767333094279,0.5507076050758362,86.34,86.34,SAM_rho_0.1,1
2,0.4755051663557688,0.4755051663557688,0.3929764986991882,89.53,89.53,SAM_rho_0.1,2
3,0.3807149113496144,0.3807149113496144,0.3383176709175109,90.66,90.66,SAM_rho_0.1,3
4,0.3381635151942571,0.3381635151942571,0.306605237865448,91.28,91.28,SAM_rho_0.1,4
5,0.3105504949172338,0.3105504949172338,0.2862950342178345,91.91,91.91,SAM_rho_0.1,5
6,0.2901492071151733,0.2901492071151733,0.2703788366317749,92.28,92.28,SAM_rho_0.1,6
7,0.2736042245785395,0.2736042245785395,0.255361982011795,92.88,92.88,SAM_rho_0.1,7
8,0.2593283239364624,0.2593283239364624,0.2427374445438385,93.21,93.21,SAM_rho_0.1,8
9,0.2468165222167968,0.2468165222167968,0.2322450904369354,93.45,93.45,SAM_rho_0.1,9
10,0.2361405372778574,0.2361405372778574,0.2221342687129974,93.71,93.71,SAM_rho_0.1,10
