epoch,train_loss,loss,test_loss,test_acc,val_acc
1,1.1777477255185445,1.1777477255185445,0.5566978149414062,86.93,86.93
2,0.4772925641854604,0.4772925641854604,0.39430340156555177,89.63,89.63
3,0.38147333064079286,0.38147333064079286,0.3399583788871765,90.65,90.65
4,0.33923389999071757,0.33923389999071757,0.3084641342163086,91.46,91.46
5,0.3114892639954885,0.3114892639954885,0.2863814487457275,92.09,92.09
6,0.2909512751897176,0.2909512751897176,0.26989321732521054,92.51,92.51
7,0.27400096785227457,0.27400096785227457,0.2558240412712097,92.89,92.89
8,0.2595540835062663,0.2595540835062663,0.24334479064941406,93.24,93.24
9,0.24691235047976176,0.24691235047976176,0.23377659273147583,93.47,93.47
10,0.23556601462364196,0.23556601462364196,0.22302841749191285,93.77,93.77
