epoch,train_loss,loss,test_loss,test_acc,val_acc
1,1.174777725950877,1.174777725950877,0.5536911828041077,86.8,86.8
2,0.47255284639994305,0.47255284639994305,0.39144340133666994,89.61,89.61
3,0.37782968810399375,0.37782968810399375,0.33760493850708007,90.83,90.83
4,0.33495292879740396,0.33495292879740396,0.307471120929718,91.57,91.57
5,0.3073550971984863,0.3073550971984863,0.2843673815727234,92.17,92.17
6,0.28618309024969735,0.28618309024969735,0.26771837797164916,92.53,92.53
7,0.26941337456703185,0.26941337456703185,0.25402872672080995,92.96,92.96
8,0.2550240954717,0.2550240954717,0.2412912916660309,93.35,93.35
9,0.24268216369152068,0.24268216369152068,0.23049959707260131,93.51,93.51
10,0.23145657076040904,0.23145657076040904,0.2215237603664398,93.79,93.79
