epoch,train_loss,loss,test_loss,test_acc,val_acc
1,1.2032086152712504,1.2032086152712504,0.5772058698654174,86.25,86.25
2,0.4909912317752838,0.4909912317752838,0.4009523516654968,89.33,89.33
3,0.38904892360369364,0.38904892360369364,0.34294023151397707,90.7,90.7
4,0.3430040755748749,0.3430040755748749,0.30988050117492677,91.44,91.44
5,0.3136081473827362,0.3136081473827362,0.28682483215332033,91.97,91.97
6,0.29149148597717284,0.29149148597717284,0.26900563430786134,92.5,92.5
7,0.27379787294864655,0.27379787294864655,0.25346809883117677,92.99,92.99
8,0.2587776574134827,0.2587776574134827,0.24089801497459412,93.23,93.23
9,0.24541083833376567,0.24541083833376567,0.2299363781452179,93.54,93.54
10,0.23421723148028056,0.23421723148028056,0.21942743287086486,93.88,93.88
