epoch,train_loss,loss,test_loss,test_acc,val_acc,optimizer,elapsed_seconds
1,1.1511066241900123,1.1511066241900123,0.5424956467628479,87.38,87.38,SAM_rho_0.02,1
2,0.4678760298411051,0.4678760298411051,0.3883845225334167,89.75,89.75,SAM_rho_0.02,2
3,0.3783371818065643,0.3783371818065643,0.3382447912216186,90.57,90.57,SAM_rho_0.02,3
4,0.3391376045385996,0.3391376045385996,0.3107713625907898,91.05,91.05,SAM_rho_0.02,4
5,0.3140183285633723,0.3140183285633723,0.2914644284248352,91.82,91.82,SAM_rho_0.02,5
6,0.2952248036861419,0.2952248036861419,0.2769093108177185,92.26,92.26,SAM_rho_0.02,6
7,0.2800257187525431,0.2800257187525431,0.2638911018371582,92.69,92.69,SAM_rho_0.02,7
8,0.2670281782547632,0.2670281782547632,0.254037701177597,92.83,92.83,SAM_rho_0.02,8
9,0.2553222775419553,0.2553222775419553,0.2429214450836181,93.29,93.29,SAM_rho_0.02,9
10,0.2449526416619618,0.2449526416619618,0.2349969914913177,93.29,93.29,SAM_rho_0.02,10
