epoch,train_loss,loss,test_loss,test_acc,val_acc
1,1.1627478425979614,1.1627478425979614,0.547647913646698,86.34,86.34
2,0.4730489799658457,0.4730489799658457,0.3896108778953552,89.56,89.56
3,0.38070404324531554,0.38070404324531554,0.33758226823806764,90.71,90.71
4,0.338815030781428,0.338815030781428,0.3081397398948669,91.25,91.25
5,0.31263840307394664,0.31263840307394664,0.28752212009429934,91.83,91.83
6,0.29298763065338135,0.29298763065338135,0.27097979249954224,92.28,92.28
7,0.2768765733718872,0.2768765733718872,0.25914477820396425,92.69,92.69
8,0.2633003854036331,0.2633003854036331,0.24693946661949157,93.06,93.06
9,0.2513993307113647,0.2513993307113647,0.23727078065872192,93.41,93.41
10,0.2406700450261434,0.2406700450261434,0.22768131041526796,93.5,93.5
