epoch,train_loss,loss,test_loss,test_acc,val_acc
1,1.1327981544335683,1.1327981544335683,0.5444533821105957,86.79,86.79
2,0.47046887939771015,0.47046887939771015,0.3891151350975037,89.51,89.51
3,0.379291668732961,0.379291668732961,0.33908510761260985,90.59,90.59
4,0.3397818688074748,0.3397818688074748,0.3101797218322754,91.21,91.21
5,0.31488535815874735,0.31488535815874735,0.2932228604316711,91.67,91.67
6,0.2962461162567139,0.2962461162567139,0.2771184574604034,92.07,92.07
7,0.2812619774977366,0.2812619774977366,0.2645451416492462,92.47,92.47
8,0.26855001106262205,0.26855001106262205,0.2548654829978943,92.89,92.89
9,0.25704739469687143,0.25704739469687143,0.2441230076789856,92.92,92.92
10,0.24649716258049012,0.24649716258049012,0.23537089762687682,93.19,93.19
