epoch,train_loss,loss,test_loss,test_acc,val_acc,optimizer,elapsed_seconds
1,1.146535602792104,1.146535602792104,0.5460884860038757,87.2,87.2,SAM_rho_0.02,1
2,0.469394873046875,0.469394873046875,0.3911101505279541,89.8,89.8,SAM_rho_0.02,2
3,0.3782724831263224,0.3782724831263224,0.338520193195343,90.77,90.77,SAM_rho_0.02,3
4,0.3371543662230173,0.3371543662230173,0.3102938039779663,91.38,91.38,SAM_rho_0.02,4
5,0.3111035295804342,0.3111035295804342,0.2896308320045471,91.89,91.89,SAM_rho_0.02,5
6,0.2915595731417338,0.2915595731417338,0.2738163074493408,92.48,92.48,SAM_rho_0.02,6
7,0.2757225168546041,0.2757225168546041,0.2598146783351898,92.73,92.73,SAM_rho_0.02,7
8,0.2621458793719609,0.2621458793719609,0.2495113798618316,92.99,92.99,SAM_rho_0.02,8
9,0.2501635189612706,0.2501635189612706,0.2391599854469299,93.33,93.33,SAM_rho_0.02,9
10,0.239662522872289,0.239662522872289,0.2297307093143463,93.46,93.46,SAM_rho_0.02,10
