epoch,train_loss,loss,test_loss,test_acc,val_acc,optimizer,elapsed_seconds
1,1.2058243655840557,1.2058243655840557,0.5675008877754212,86.75,86.75,SAM_rho_0.2,1
2,0.4840534763971964,0.4840534763971964,0.4008869483947754,89.59,89.59,SAM_rho_0.2,2
3,0.3863784089406331,0.3863784089406331,0.3444916877746582,90.67,90.67,SAM_rho_0.2,3
4,0.3419626834074656,0.3419626834074656,0.3125045412063598,91.48,91.48,SAM_rho_0.2,4
5,0.312962799056371,0.312962799056371,0.2898402123451233,91.92,91.92,SAM_rho_0.2,5
6,0.2913031498432159,0.2913031498432159,0.2696009157180786,92.62,92.62,SAM_rho_0.2,6
7,0.2732031126022339,0.2732031126022339,0.2543619102478027,93.05,93.05,SAM_rho_0.2,7
8,0.2584226317167282,0.2584226317167282,0.2419133426666259,93.28,93.28,SAM_rho_0.2,8
9,0.2455233323574066,0.2455233323574066,0.230676404094696,93.75,93.75,SAM_rho_0.2,9
10,0.2340212674458821,0.2340212674458821,0.220640852355957,93.87,93.87,SAM_rho_0.2,10
