epoch,train_loss,loss,test_loss,test_acc,val_acc,optimizer,elapsed_seconds
1,1.2139371077219645,1.2139371077219645,0.5824999583244324,86.09,86.09,SAM_rho_0.2,1
2,0.4946837912718455,0.4946837912718455,0.4074850747108459,89.39,89.39,SAM_rho_0.2,2
3,0.391339055887858,0.391339055887858,0.3474173821449279,90.55,90.55,SAM_rho_0.2,3
4,0.3455455344200134,0.3455455344200134,0.3139773159027099,91.42,91.42,SAM_rho_0.2,4
5,0.3162716228326162,0.3162716228326162,0.2895929862499237,91.97,91.97,SAM_rho_0.2,5
6,0.2942201927344004,0.2942201927344004,0.2711209946155548,92.57,92.57,SAM_rho_0.2,6
7,0.2751835654894511,0.2751835654894511,0.2551965282440185,92.97,92.97,SAM_rho_0.2,7
8,0.2596525042931238,0.2596525042931238,0.2418990866661071,93.36,93.36,SAM_rho_0.2,8
9,0.245954191549619,0.245954191549619,0.2298024526119232,93.71,93.71,SAM_rho_0.2,9
10,0.234203004916509,0.234203004916509,0.2199637152194976,93.98,93.98,SAM_rho_0.2,10
