epoch,train_loss,loss,test_loss,test_acc,val_acc
1,1.1594932337760926,1.1594932337760926,0.5521356929779053,86.85,86.85
2,0.47372485095659894,0.47372485095659894,0.3898622246742249,89.73,89.73
3,0.3796537448724111,0.3796537448724111,0.3379444158554077,90.61,90.61
4,0.3379464878877004,0.3379464878877004,0.3079084358215332,91.36,91.36
5,0.31121723180611927,0.31121723180611927,0.28736187419891357,91.94,91.94
6,0.29118474046389264,0.29118474046389264,0.2711222198009491,92.39,92.39
7,0.2746371813615163,0.2746371813615163,0.2577377194404602,92.55,92.55
8,0.26059893346627555,0.26059893346627555,0.24539243535995484,92.94,92.94
9,0.24816469496091206,0.24816469496091206,0.23505276527404786,93.37,93.37
10,0.2372936954498291,0.2372936954498291,0.2251763520717621,93.56,93.56
