epoch,train_loss,loss,test_loss,test_acc,val_acc,optimizer,elapsed_seconds
1,1.1299581398646037,1.1299581398646037,0.5410792000770569,87.13,87.13,SAM_rho_0.02,1
2,0.4684645273844401,0.4684645273844401,0.3925331398963928,89.6,89.6,SAM_rho_0.02,2
3,0.3797442406972249,0.3797442406972249,0.3409771390914917,90.48,90.48,SAM_rho_0.02,3
4,0.3397217983563741,0.3397217983563741,0.3122680000305176,91.25,91.25,SAM_rho_0.02,4
5,0.3142739359060923,0.3142739359060923,0.2926536296844482,91.59,91.59,SAM_rho_0.02,5
6,0.295021042950948,0.295021042950948,0.2760864768981934,92.23,92.23,SAM_rho_0.02,6
7,0.2794107274293899,0.2794107274293899,0.2641237278461456,92.5,92.5,SAM_rho_0.02,7
8,0.2661665463606517,0.2661665463606517,0.2535675092220306,92.89,92.89,SAM_rho_0.02,8
9,0.2546620301485062,0.2546620301485062,0.2421010414600372,93.2,93.2,SAM_rho_0.02,9
10,0.2442431620121002,0.2442431620121002,0.2333516368865967,93.51,93.51,SAM_rho_0.02,10
