epoch,train_loss,loss,test_loss,test_acc,val_acc
1,1.149161702632904,1.149161702632904,0.5493598487854003,87.03,87.03
2,0.4740556272347768,0.4740556272347768,0.3933195219039917,89.32,89.32
3,0.3821094343662262,0.3821094343662262,0.34091504259109495,90.4,90.4
4,0.34122412187258405,0.34122412187258405,0.3119769631385803,91.21,91.21
5,0.3153093321243922,0.3153093321243922,0.2922973347663879,91.76,91.76
6,0.29607891856829327,0.29607891856829327,0.2765148209571838,92.27,92.27
7,0.28038903203010557,0.28038903203010557,0.26405925602912905,92.57,92.57
8,0.26709742547671,0.26709742547671,0.25237612533569337,92.95,92.95
9,0.2554745113213857,0.2554745113213857,0.24292075567245483,93.18,93.18
10,0.2448008126894633,0.2448008126894633,0.23370104665756225,93.33,93.33
