epoch,train_loss,loss,test_loss,test_acc,val_acc,optimizer,elapsed_seconds
1,1.1790259502092997,1.1790259502092997,0.550082595539093,87.15,87.15,SAM_rho_0.1,1
2,0.4718983282725016,0.4718983282725016,0.3890169622421264,89.78,89.78,SAM_rho_0.1,2
3,0.3783792183717092,0.3783792183717092,0.3370674024581909,90.9,90.9,SAM_rho_0.1,3
4,0.3374401085535685,0.3374401085535685,0.3086640447616577,91.35,91.35,SAM_rho_0.1,4
5,0.3107984245141347,0.3107984245141347,0.2882056846618652,91.9,91.9,SAM_rho_0.1,5
6,0.2908356291770935,0.2908356291770935,0.2716177228927612,92.47,92.47,SAM_rho_0.1,6
7,0.2743792232513428,0.2743792232513428,0.2574857295036316,92.84,92.84,SAM_rho_0.1,7
8,0.260637756729126,0.260637756729126,0.2464126719474792,93.15,93.15,SAM_rho_0.1,8
9,0.2480746785243352,0.2480746785243352,0.2352004661083221,93.42,93.42,SAM_rho_0.1,9
10,0.2371340839068094,0.2371340839068094,0.2260458433151245,93.73,93.73,SAM_rho_0.1,10
