epoch,train_loss,loss,test_loss,test_acc,val_acc
1,1.1291829612096151,1.1291829612096151,0.5478216740608215,86.95,86.95
2,0.4724128432750702,0.4724128432750702,0.3944121975898743,89.53,89.53
3,0.38266366939544677,0.38266366939544677,0.34504755783081054,90.53,90.53
4,0.3432860106786092,0.3432860106786092,0.3144844514846802,91.18,91.18
5,0.31808412917455037,0.31808412917455037,0.29528000926971437,91.67,91.67
6,0.2995291539510091,0.2995291539510091,0.2814189287185669,92.06,92.06
7,0.2847232297897339,0.2847232297897339,0.2678634201049805,92.24,92.24
8,0.2714495706160863,0.2714495706160863,0.25627577466964724,92.71,92.71
9,0.25981481579144794,0.25981481579144794,0.24730486960411072,92.84,92.84
10,0.24926014312108358,0.24926014312108358,0.23744957900047303,93.18,93.18
