epoch,train_loss,loss,test_loss,test_acc,val_acc
1,1.1487701189994812,1.1487701189994812,0.5424134950637818,87.24,87.24
2,0.46834669602712,0.46834669602712,0.3886247772216797,89.6,89.6
3,0.3785334958553314,0.3785334958553314,0.3383972848892212,90.44,90.44
4,0.33934012818336484,0.33934012818336484,0.3106369710922241,91.38,91.38
5,0.31437687714894613,0.31437687714894613,0.2922532850265503,91.77,91.77
6,0.2957920559485753,0.2957920559485753,0.27704905138015745,92.2,92.2
7,0.28071594907442726,0.28071594907442726,0.26430401501655576,92.47,92.47
8,0.2677715217987696,0.2677715217987696,0.25414400849342345,92.95,92.95
9,0.2562150264422099,0.2562150264422099,0.24424935779571533,93.13,93.13
10,0.2458378715833028,0.2458378715833028,0.235349206161499,93.31,93.31
