epoch,train_loss,loss,test_loss,test_acc,val_acc
1,1.1510020269711811,1.1510020269711811,0.5456222249031066,86.8,86.8
2,0.47032863227526345,0.47032863227526345,0.39289000625610354,89.43,89.43
3,0.3794054104646047,0.3794054104646047,0.3406762162208557,90.6,90.6
4,0.33844215313593545,0.33844215313593545,0.30964460611343386,91.29,91.29
5,0.31142893681526185,0.31142893681526185,0.2896881525993347,91.95,91.95
6,0.29101010189851123,0.29101010189851123,0.2719466212749481,92.23,92.23
7,0.27453198862075806,0.27453198862075806,0.25823092212677,92.8,92.8
8,0.2604756375948588,0.2604756375948588,0.24511699619293212,93.1,93.1
9,0.24832297235329945,0.24832297235329945,0.23465180721282958,93.53,93.53
10,0.23719041590690612,0.23719041590690612,0.22499902386665344,93.69,93.69
