epoch,train_loss,loss,test_loss,test_acc,val_acc
1,1.1483357841173807,1.1483357841173807,0.553021729183197,86.58,86.58
2,0.47422022841771444,0.47422022841771444,0.39266815662384036,89.44,89.44
3,0.3805832511107127,0.3805832511107127,0.33907065229415895,90.79,90.79
4,0.33889660398165383,0.33889660398165383,0.3093966876029968,91.32,91.32
5,0.3122975601514181,0.3122975601514181,0.2883490019798279,91.89,91.89
6,0.291844216299057,0.291844216299057,0.27055767140388487,92.39,92.39
7,0.27532950270970663,0.27532950270970663,0.25773860597610476,92.76,92.76
8,0.26097225243250527,0.26097225243250527,0.2455766870498657,93.13,93.13
9,0.24809474592208863,0.24809474592208863,0.23361198806762695,93.44,93.44
10,0.2370648933092753,0.2370648933092753,0.22413588809967042,93.69,93.69
