epoch,train_loss,loss,test_loss,test_acc,val_acc
1,1.1544359427452087,1.1544359427452087,0.5440113771438598,86.91,86.91
2,0.47208281734784446,0.47208281734784446,0.38996925029754637,89.5,89.5
3,0.38074200212160747,0.38074200212160747,0.33791817054748535,90.59,90.59
4,0.3400714291890462,0.3400714291890462,0.30871378993988036,91.28,91.28
5,0.3141425920645396,0.3141425920645396,0.2898609939575195,91.7,91.7
6,0.29505024704933164,0.29505024704933164,0.27421043357849123,92.15,92.15
7,0.2793950315395991,0.2793950315395991,0.2616848721981049,92.55,92.55
8,0.26622495312690736,0.26622495312690736,0.2496801718711853,92.87,92.87
9,0.254609600631396,0.254609600631396,0.24036402673721313,93.21,93.21
10,0.2441584199587504,0.2441584199587504,0.23108617491722108,93.4,93.4
