epoch,train_loss,loss,test_loss,test_acc,val_acc,optimizer,elapsed_seconds
1,1.1586428692817687,1.1586428692817687,0.5508814902305603,86.97,86.97,SAM_rho_0.05,1
2,0.4744106691201528,0.4744106691201528,0.3926533429145813,89.38,89.38,SAM_rho_0.05,2
3,0.381422038269043,0.381422038269043,0.3398664901733398,90.41,90.41,SAM_rho_0.05,3
4,0.3397699352264404,0.3397699352264404,0.3106643224716186,91.3,91.3,SAM_rho_0.05,4
5,0.3132558724006017,0.3132558724006017,0.2898024209976196,91.91,91.91,SAM_rho_0.05,5
6,0.2934385807911555,0.2934385807911555,0.2733306205749511,92.41,92.41,SAM_rho_0.05,6
7,0.2771265892028808,0.2771265892028808,0.2602964052200317,92.69,92.69,SAM_rho_0.05,7
8,0.2634337646961212,0.2634337646961212,0.2481650520801544,93.06,93.06,SAM_rho_0.05,8
9,0.2514476520458857,0.2514476520458857,0.2383770927906036,93.31,93.31,SAM_rho_0.05,9
10,0.2403983119726181,0.2403983119726181,0.2287832394123077,93.6,93.6,SAM_rho_0.05,10
