epoch,train_loss,loss,test_loss,test_acc,val_acc
1,1.1352343494097392,1.1352343494097392,0.5412627312660218,87.32,87.32
2,0.46838012046813965,0.46838012046813965,0.3930425518989563,89.4,89.4
3,0.3792398063500722,0.3792398063500722,0.33994960050582884,90.52,90.52
4,0.3387023811976115,0.3387023811976115,0.3112173436164856,91.25,91.25
5,0.31278940358956653,0.31278940358956653,0.29025117444992066,91.78,91.78
6,0.29314512745539345,0.29314512745539345,0.27445772247314454,92.3,92.3
7,0.27735526309013364,0.27735526309013364,0.26038962688446043,92.66,92.66
8,0.2639718678633372,0.2639718678633372,0.24943079891204833,92.97,92.97
9,0.25190487880706786,0.25190487880706786,0.23973614959716796,93.25,93.25
10,0.24145629139741262,0.24145629139741262,0.22974127383232118,93.61,93.61
