epoch,train_loss,loss,test_loss,test_acc,val_acc,optimizer,elapsed_seconds
1,1.143170075448354,1.143170075448354,0.5411513904571533,87.35,87.35,SAM_rho_0.1,1
2,0.4705765700022379,0.4705765700022379,0.3905138886451721,89.56,89.56,SAM_rho_0.1,2
3,0.3814815553506215,0.3814815553506215,0.3386421794891357,90.69,90.69,SAM_rho_0.1,3
4,0.3410575898329417,0.3410575898329417,0.3092867565155029,91.39,91.39,SAM_rho_0.1,4
5,0.314513676905632,0.314513676905632,0.2887831080436706,91.98,91.98,SAM_rho_0.1,5
6,0.2941640591780344,0.2941640591780344,0.2720362874031067,92.35,92.35,SAM_rho_0.1,6
7,0.2776825254281362,0.2776825254281362,0.2582333016872406,92.88,92.88,SAM_rho_0.1,7
8,0.2632627138376236,0.2632627138376236,0.2465214237213134,93.18,93.18,SAM_rho_0.1,8
9,0.2504256087064743,0.2504256087064743,0.2359100138664245,93.42,93.42,SAM_rho_0.1,9
10,0.2390359880924225,0.2390359880924225,0.2255890375137329,93.56,93.56,SAM_rho_0.1,10
