epoch,train_loss,loss,test_loss,test_acc,val_acc
1,1.2317757568677266,1.2317757568677266,0.5758027163505555,86.58,86.58
2,0.4890138967672984,0.4890138967672984,0.39875728216171263,89.51,89.51
3,0.38617762455940247,0.38617762455940247,0.34217631788253783,90.6,90.6
4,0.34079507530530295,0.34079507530530295,0.3081111596107483,91.46,91.46
5,0.3117184181133906,0.3117184181133906,0.2858402381896973,92.08,92.08
6,0.29019485381444293,0.29019485381444293,0.26937107043266295,92.5,92.5
7,0.27243633178075155,0.27243633178075155,0.2536078103542328,92.96,92.96
8,0.2580051769733429,0.2580051769733429,0.24126305780410767,93.28,93.28
9,0.2455393132607142,0.2455393132607142,0.23117765879631041,93.46,93.46
10,0.2342261578877767,0.2342261578877767,0.22111961107254027,93.84,93.84
