epoch,train_loss,loss,test_loss,test_acc,val_acc
1,1.1251898038228352,1.1251898038228352,0.5433681557655334,86.95,86.95
2,0.47118152834574384,0.47118152834574384,0.3910334875106812,89.55,89.55
3,0.3807454844315847,0.3807454844315847,0.3401499797821045,90.54,90.54
4,0.340784352795283,0.340784352795283,0.31253384084701535,91.26,91.26
5,0.3155644892215729,0.3155644892215729,0.29261851272583006,91.7,91.7
6,0.29682775230407715,0.29682775230407715,0.2776775954246521,91.96,91.96
7,0.28133653903007505,0.28133653903007505,0.26541345014572143,92.41,92.41
8,0.2680566223462423,0.2680566223462423,0.2537078722476959,92.72,92.72
9,0.25635596063137056,0.25635596063137056,0.24405622992515563,93.02,93.02
10,0.24562205174763999,0.24562205174763999,0.23446668252944947,93.23,93.23
