epoch,train_loss,loss,test_loss,test_acc,val_acc,optimizer,elapsed_seconds
1,1.1552284443219505,1.1552284443219505,0.5465394173622131,87.04,87.04,SAM_rho_0.05,1
2,0.4696212525526682,0.4696212525526682,0.3927268424987793,89.66,89.66,SAM_rho_0.05,2
3,0.3776558485190073,0.3776558485190073,0.3380211702346802,90.86,90.86,SAM_rho_0.05,3
4,0.3360707972844441,0.3360707972844441,0.3088645861625671,91.39,91.39,SAM_rho_0.05,4
5,0.309366894642512,0.309366894642512,0.2892167359352112,91.98,91.98,SAM_rho_0.05,5
6,0.2894126015822093,0.2894126015822093,0.2708291351318359,92.49,92.49,SAM_rho_0.05,6
7,0.2733464358329773,0.2733464358329773,0.2580473092079162,92.86,92.86,SAM_rho_0.05,7
8,0.2593817725022634,0.2593817725022634,0.2458293848991394,93.1,93.1,SAM_rho_0.05,8
9,0.2472054968674977,0.2472054968674977,0.2355716789245605,93.33,93.33,SAM_rho_0.05,9
10,0.2362189853270848,0.2362189853270848,0.2256193701267242,93.63,93.63,SAM_rho_0.05,10
