epoch,phase,seed,torch_version,cuda_available,device,cudnn_deterministic,cudnn_benchmark,time_sec,batch,global_step,train_loss,grad_norm,update_norm,lr,tainted,effective_batch_size,original_batch_size,test_loss,test_accuracy
1,eval,,,,,,,46.556488275527954,,469.0,,,,,False,128.0,128.0,0.2947245197296143,0.9135
2,eval,,,,,,,93.20219659805298,,938.0,,,,,False,128.0,128.0,0.2265690697550773,0.9344
3,eval,,,,,,,141.19081497192383,,1407.0,,,,,False,128.0,128.0,0.1891790641307831,0.9445
4,eval,,,,,,,198.49871015548703,,1876.0,,,,,False,128.0,128.0,0.1626832612216472,0.9523
5,eval,,,,,,,265.3963243961334,,2345.0,,,,,False,128.0,128.0,0.1441203515589237,0.9582
6,eval,,,,,,,318.26723289489746,,2814.0,,,,,False,128.0,128.0,0.1316339694857597,0.962
7,eval,,,,,,,372.577837228775,,3283.0,,,,,False,128.0,128.0,0.1219459133952856,0.9648
8,eval,,,,,,,427.7137141227722,,3752.0,,,,,False,128.0,128.0,0.1120713527619838,0.9678
9,eval,,,,,,,483.1248238086701,,4221.0,,,,,False,128.0,128.0,0.1067199509590864,0.9686
10,eval,,,,,,,538.421596288681,,4690.0,,,,,False,128.0,128.0,0.0998543618157506,0.9714
