epoch,phase,seed,torch_version,cuda_available,device,cudnn_deterministic,cudnn_benchmark,time_sec,batch,global_step,train_loss,grad_norm,update_norm,lr,tainted,effective_batch_size,original_batch_size,test_loss,test_accuracy
1,eval,,,,,,,24.449049711227417,,469.0,,,,,False,128.0,128.0,2.1718906154632567,0.2577
2,eval,,,,,,,49.823567390441895,,938.0,,,,,False,128.0,128.0,2.0285555753707887,0.4832
3,eval,,,,,,,75.39325261116028,,1407.0,,,,,False,128.0,128.0,1.8869828453063968,0.6399
4,eval,,,,,,,101.63878798484802,,1876.0,,,,,False,128.0,128.0,1.7476077152252196,0.7114
5,eval,,,,,,,127.45484161376952,,2345.0,,,,,False,128.0,128.0,1.61047481136322,0.7479
6,eval,,,,,,,153.45595359802246,,2814.0,,,,,False,128.0,128.0,1.4784214599609375,0.7697
7,eval,,,,,,,192.80282640457156,,3283.0,,,,,False,128.0,128.0,1.3539879079818726,0.786
8,eval,,,,,,,256.48686504364014,,3752.0,,,,,False,128.0,128.0,1.2391812430381774,0.7997
9,eval,,,,,,,310.9167423248291,,4221.0,,,,,False,128.0,128.0,1.135295680618286,0.8096
10,eval,,,,,,,362.6308736801148,,4690.0,,,,,False,128.0,128.0,1.042959125328064,0.8209
