epoch,phase,seed,torch_version,cuda_available,device,cudnn_deterministic,cudnn_benchmark,time_sec,batch,global_step,train_loss,grad_norm,update_norm,lr,tainted,effective_batch_size,original_batch_size,test_loss,test_accuracy
1,eval,,,,,,,20.829508304595947,,469.0,,,,,False,128.0,128.0,0.4242220223665237,0.89
2,eval,,,,,,,42.80693483352661,,938.0,,,,,False,128.0,128.0,0.3237500367164612,0.9091
3,eval,,,,,,,64.31273818016052,,1407.0,,,,,False,128.0,128.0,0.2845548824071884,0.9205
4,eval,,,,,,,86.66090965270996,,1876.0,,,,,False,128.0,128.0,0.2608375611066818,0.927
5,eval,,,,,,,109.6425848007202,,2345.0,,,,,False,128.0,128.0,0.2433498084306717,0.9308
6,eval,,,,,,,133.19270300865173,,2814.0,,,,,False,128.0,128.0,0.2262092649340629,0.9361
7,eval,,,,,,,156.97605204582214,,3283.0,,,,,False,128.0,128.0,0.2132549141645431,0.9387
8,eval,,,,,,,182.15326309204104,,3752.0,,,,,False,128.0,128.0,0.2014909838199615,0.9427
9,eval,,,,,,,206.5604043006897,,4221.0,,,,,False,128.0,128.0,0.1908012582063674,0.9447
10,eval,,,,,,,232.2583487033844,,4690.0,,,,,False,128.0,128.0,0.181014848613739,0.9479
