epoch,phase,seed,torch_version,cuda_available,device,cudnn_deterministic,cudnn_benchmark,time_sec,batch,global_step,train_loss,grad_norm,update_norm,lr,tainted,effective_batch_size,original_batch_size,test_loss,test_accuracy
1,eval,,,,,,,62.12296462059021,,469.0,,,,,False,128.0,128.0,2.271231817626953,0.1291
2,eval,,,,,,,122.7450807094574,,938.0,,,,,False,128.0,128.0,2.221074624633789,0.1832
3,eval,,,,,,,185.55638003349304,,1407.0,,,,,False,128.0,128.0,2.1718224380493165,0.2577
4,eval,,,,,,,253.871856212616,,1876.0,,,,,False,128.0,128.0,2.123640589141845,0.3409
5,eval,,,,,,,325.2801606655121,,2345.0,,,,,False,128.0,128.0,2.0758898096084595,0.418
6,eval,,,,,,,396.9556241035461,,2814.0,,,,,False,128.0,128.0,2.02855078163147,0.483
7,eval,,,,,,,466.3158473968506,,3283.0,,,,,False,128.0,128.0,1.9814240743637088,0.5466
8,eval,,,,,,,539.0258069038391,,3752.0,,,,,False,128.0,128.0,1.9343918645858764,0.5997
9,eval,,,,,,,604.5281639099121,,4221.0,,,,,False,128.0,128.0,1.8875484029769896,0.6392
10,eval,,,,,,,672.9850170612335,,4690.0,,,,,False,128.0,128.0,1.8408288251876832,0.6695
