epoch,phase,seed,torch_version,cuda_available,device,cudnn_deterministic,cudnn_benchmark,time_sec,batch,global_step,train_loss,grad_norm,update_norm,lr,tainted,effective_batch_size,original_batch_size,test_loss,test_accuracy
1,eval,,,,,,,52.66457223892212,,469.0,,,,,False,128.0,128.0,1.0278167101860047,0.804
2,eval,,,,,,,104.2905261516571,,938.0,,,,,False,128.0,128.0,0.5762198216915131,0.8679
3,eval,,,,,,,153.88831400871277,,1407.0,,,,,False,128.0,128.0,0.4441018421173096,0.8891
4,eval,,,,,,,204.58656287193295,,1876.0,,,,,False,128.0,128.0,0.3861970759868622,0.8971
5,eval,,,,,,,254.91970419883728,,2345.0,,,,,False,128.0,128.0,0.3534721447706223,0.902
6,eval,,,,,,,314.2473375797272,,2814.0,,,,,False,128.0,128.0,0.3326790786743164,0.9067
7,eval,,,,,,,374.8461401462555,,3283.0,,,,,False,128.0,128.0,0.3167420618772507,0.9101
8,eval,,,,,,,435.866439819336,,3752.0,,,,,False,128.0,128.0,0.3039272248983383,0.9127
9,eval,,,,,,,503.8290064334869,,4221.0,,,,,False,128.0,128.0,0.2935121913194656,0.9158
10,eval,,,,,,,570.8114364147186,,4690.0,,,,,False,128.0,128.0,0.2841048771619797,0.9187
