dataset,model,optimizer,seed,final_test_acc,final_loss,run_signature,completed
2D,Rosenbrock,SGD,42,,0.0015348406,105c08a9230dd9b27d624ffbf3b8c43ab5e978b1c9adab4d67bb6d088764230b,True
2D,Rosenbrock,SGD,123,,72.723305,d742a40c5597e9a06575293442f2a97babf4c16a3eb5e095b3df2f5dac812276,True
2D,Rosenbrock,SGD,456,,2.291391,1cad0b76128527427837533c23b3940ca8ae62c29a77634713a3982b342dea6b,True
2D,Rosenbrock,SGD,789,,140.86462,a2848998d7b64121b1dc25d0636600ea6c1087638ca989f32a12a3d8ae7fc76e,True
2D,Rosenbrock,SGD,1011,,2.7648168,81a324f1cd06766730efbfc2f6f997b67f7f643a54464283aa42479451852366,True
2D,Rosenbrock,SGD,1213,,31.028547,a52e0686682c27e4ce4f5e72cf60b38662c631316f3995a2ea27129960fd382e,True
2D,Rosenbrock,SGD,1415,,2.1532567,7a474722a761cad6fff7b1e4a58e7cd29abec5a4d90f63b94a77c13b68e9ea02,True
2D,Rosenbrock,SGD,1617,,26.885149,b2b62fb44a1a089a78624f6aa1c64c06e91c625edded0687d0ee43aa49100892,True
2D,Rosenbrock,SGD,1819,,4.025492,68b8b722dd97c622a1ea2f784814ca39e888490c3dc28f441cc35be00148e75a,True
2D,Rosenbrock,SGD,2021,,0.66225165,8922b5bcecb4281cd9a1545e2ff11968758e149ab8133e5d5e1b703c6e3b3031,True
2D,Rosenbrock,Adam,42,,0.0016838262,7aca90bf046e399b980b8e6456884fd5dd8be604fad775426d1b4a51c0d11337,True
2D,Rosenbrock,Adam,123,,0.014562646,dc3b45ca0ea1a5fa92b1495c855e5069c9a768caa374a451a87c0803c6566503,True
2D,Rosenbrock,Adam,456,,0.00810651,6292ee29bf79cdb10c29f35811fcaf9f44d66c14ecfe74a5bea4afe932e4d44b,True
2D,Rosenbrock,Adam,789,,0.02414906,5bfdf30aa37fa18a74d564480028d465f38127b99fe335830f75685e4afd5b20,True
2D,Rosenbrock,Adam,1011,,0.009954199,a57a531f1b3ad56f6d727e985bff69ae2517c82b3892ba6920dacc224b3ac878,True
2D,Rosenbrock,Adam,1213,,0.019192318,466b874a168d829d667b4974dcbcf01b24b66689e8dc5d8b55d78e8db6747733,True
2D,Rosenbrock,Adam,1415,,0.016578203,09b0cfe5bb8fe7cbb576bf8ed32a1495c9d6caaeda0b4619b3bd8d46c0bbd980,True
2D,Rosenbrock,Adam,1617,,0.020830156,5a117f7d871124b652609b81f2fe61ac9ab2a736cba1bf204e6f5386cd7c7e1c,True
2D,Rosenbrock,Adam,1819,,0.0040209647,a9bb98f0275b4074ea394f8b7aec9a9aea51169da25cd2586a8d934f493bc79d,True
2D,Rosenbrock,Adam,2021,,9.5257747e-07,75ce006a04bef787b881b3dca59ffe1377c35d4483ce10ea3819381661124a04,True
2D,Rosenbrock,SAM_SGD,42,,0.34231612,b0b22c2e9c14c83d3b75287c7d24c74636998a153d6e3ba55e70df09601cbfd5,True
2D,Rosenbrock,SAM_SGD,123,,0.34732354,e589d1286c3fb72027e231354030388b91d40dbc6413a379ae13a742effa520c,True
2D,Rosenbrock,SAM_SGD,456,,0.33599612,bd4692df25d671031ff1dac8b79907c22f5b8ef82062a095260d416d049e6068,True
2D,Rosenbrock,SAM_SGD,1011,,0.38139674,ba2710d80955118bf309f0ba993ffc86a9434b70b7cd45bba43f4e49c348a0a4,True
2D,Rosenbrock,SAM_SGD,1213,,0.32981044,72d4dff5271e0bc9862e09ec192b02db59f8b76a3b09eefeeb88dcca3903c710,True
2D,Rosenbrock,SAM_SGD,1415,,0.35700944,f6090dad3c461a24809bb58d13fc7bcac834458f57067f381957cdb7f45c41ef,True
2D,Rosenbrock,SAM_SGD,1617,,0.36618182,5c8d4bebd6f8f58e445e5486b64ee73bcf39403f1bc9638e1a2cb1fe55ce68d6,True
2D,Rosenbrock,SAM_SGD,2021,,0.38280585,e4a2a7ee63f68a91a73d259ce92e53dd30f89df2003a99ab0a871b0e382294e4,True
2D,Rastrigin,SGD,42,,3.9798317,394974f044117cb3c193d8e16bbe6bc7a549db82e084f8ef7a2c7de37c7a1dcd,True
2D,Rastrigin,SGD,123,,28.85355,5710d6c6af5bd844ad762bd8af9ce18a498b9188b66435b257b25b678a5e1cc7,True
2D,Rastrigin,SGD,456,,4.9747906,5af0ae725d5efcc2bf32f5b07100adc4d871747640d68e242beb3e2209e49a40,True
2D,Rastrigin,SGD,789,,12.93443,a7368acf5c83e5174f3c6c9c1d88ecd78b27cd70b136bc857ae0bf39d8f1237f,True
2D,Rastrigin,SGD,1011,,28.85355,882606b4f64180576ea23404763c862517b020ca6b94444578b8cd971f39f606,True
2D,Rastrigin,SGD,1213,,17.909199,5fa42e7878de99cd82e784763f63e43df000ccaba255841544ddcbc7ea646b41,True
2D,Rastrigin,SGD,1415,,9.949558,1896690634584db391de8ada74d4909bfa1ed397807b9b177fd363d0a099c363,True
2D,Rastrigin,SGD,1617,,1.9899178,b5a32a57ffb7f9d96a2129baaae1c3ef8acff27caf52a474984d08fcd36d5fc6,True
2D,Rastrigin,SGD,1819,,33.82832,4e0376013d3e16399c3cbb0b55b79eb22a2aab45f5f82dd02dbceb62be34fb9c,True
2D,Rastrigin,SGD,2021,,28.85355,1a8902ab68e2083733b65e74be7e2e7536e16c4ca08d3fffcd517db6ce14da7e,True
2D,Rastrigin,Adam,42,,3.9798698,5ec8e24f98f3746271ca881ea08f877067d3bceea7bab86d9e883cd4bdf9ceb7,True
2D,Rastrigin,Adam,123,,28.853554,2921b999ae845a2d9b76b3cc0ca1f8e0af993f4bc2b5f32361c95b029b24ac00,True
2D,Rastrigin,Adam,456,,4.9748564,f4821474e1409d97d0e18c9c7dca29aa3f51e1085435b466ee339e1db0e9b0fb,True
2D,Rastrigin,Adam,789,,12.934433,8326c9594a08075eebfb1c6889a4222bdb400fa9c80bdbaf46384647e3e5bb64,True
2D,Rastrigin,Adam,1011,,28.853682,27d6059b3ed3219fdf553520cb10faf6e092cd3c009a260a0c1273c417b9cf9a,True
2D,Rastrigin,Adam,1213,,17.9092,60b2fca87dba35cd7a3d1ad9d859610533db20cd278aab9e63dca16166eab113,True
2D,Rastrigin,Adam,1415,,9.956179,a547a69d591523be9276777586da9f6bffa262d757b11dc58d84d4531a9273d6,True
2D,Rastrigin,Adam,1617,,1.9911041,1d053c6bab482dfe16cda34709fba33d1f7eb69a8b06f4956b3fa0b9c0bdf2f5,True
2D,Rastrigin,Adam,1819,,33.831093,6938e002899a01a8537bdac1e78d36aa08166329dd15604a18f4c2b666eeaa46,True
2D,Rastrigin,Adam,2021,,28.853554,a12a4fa90187b3fd0eda1ca3ad3a53fddb402d37c250e3efa9793f4d0ad1c9fb,True
2D,Rastrigin,SAM_SGD,42,,4.0081167,e535b97a96fbfdd6e61f239bcbfa1060bb4e103746eb34a083d120329114cffa,True
2D,Rastrigin,SAM_SGD,123,,44.365334,c80840895b4aa02f68543583b4b6e2c87b2f59dcecd5e5bc8dcd2c2d6b2a5fc6,True
2D,Rastrigin,SAM_SGD,456,,5.0060005,96723eeb1407ae0f2fc2fe9c7fca342f2feeea1708097763fd2b588bb1af4ac0,True
2D,Rastrigin,SAM_SGD,789,,12.963297,7977bee43a6b426b593869ddc3f55971387b1e88407a066ff5770bcdda790a42,True
2D,Rastrigin,SAM_SGD,1011,,28.88463,b26d5b1fa51ab559cbc9a1039f4855c1700b7d670c9dd3746d82464bf835d355,True
2D,Rastrigin,SAM_SGD,1213,,17.938148,8da211097735dcdce7a01f555ba51e48e1f3f0ac245e87d01417728c08491403,True
2D,Rastrigin,SAM_SGD,1415,,9.978499,312cdb8d7d354c8495214c7658fed9fffb05bc739e011c1341019bbe923828bd,True
2D,Rastrigin,SAM_SGD,1617,,2.019291,6b8e9a6e83850e02cd26f3ed8c3d86f823fb41cd05f2ec44833d3daa574cc857,True
2D,Rastrigin,SAM_SGD,1819,,33.85217,c381b9e4c6d2ac92bdb6f3accae2f6b055d7754a94889a3b193c028da3b2ef5a,True
2D,Rastrigin,SAM_SGD,2021,,28.88573,35e7089a887681931b2c359693c6a888580459fab13bbec9db20480655e79abc,True
Robustness,Rosenbrock,SGD_start0,42,,0.022134898230433464,9fd9d623f08d53d5653caf8ebf6e775defb8359060e5835257ba17965cd08a7a,True
Robustness,Rosenbrock,SGD_start1,42,,0.1313064843416214,8c4dd067c4b89ba7e21ae6a1a3758b5d2383eaf53d899ab759a3181486bb7c56,True
Robustness,Rosenbrock,SGD_start2,42,,0.010314838960766792,a8e1287c31ed96f981a133b58745dbf1b91b84a98dbbc275f51c9649d27e8afd,True
Robustness,Rosenbrock,SGD_start3,42,,0.8264845609664917,0ccf463a78d538e2cd21945994834fd805849ae938de4d5aefbf529e345acffb,True
Robustness,Rosenbrock,SGD_start4,42,,0.05633147433400154,c0278a4898d5b7a305d4b8839a4adcde24deb0c665a5bf178c80369d8c281070,True
Robustness,Rosenbrock,SGD_start5,42,,0.8297846913337708,4c1d8f3d817894b80f8a027d5740460759c5fddd15ccf1170097c0f4aedc8263,True
Robustness,Rosenbrock,SGD_start6,42,,1.0593403577804565,1e4908e602006f44fc5188046071f35536bc2a452cb4084d5d57380bbf03f2ae,True
Robustness,Rosenbrock,SGD_start7,42,,0.0,068570d80a935112da1e14b98b89230c3691fca3f17a1f61a4fbba0f34f06e56,True
Robustness,Rosenbrock,SGD_start8,42,,0.010028282180428505,42793bbf8d7aa666762bd64bf0ffde79554cc339e1223acdae850a522e3da5a8,True
Robustness,Rosenbrock,SGD_start9,42,,0.12084688991308212,16e9f8a26e9f0d7df70410253e3be6e1d00625a25cc81594e689bf70e9f5828f,True
Robustness,Rosenbrock,SGD_Momentum_start0,42,,0.6433355808258057,29beb0d00dca4d17d93a5994d17cd6025b7874383b5cbf84bbf6a067eaf57a47,True
Robustness,Rosenbrock,SGD_Momentum_start1,42,,7.090969302225858e-05,690cf65f05919a3489ce67d767c439e2f01d46c5ff1a8d6be2e962680e13f116,True
Robustness,Rosenbrock,SGD_Momentum_start2,42,,2.017696351686027e-05,021c0a9902503a32e41616c8a54cedd78bebc1f5ddbdcc08fb5d622d3da00240,True
Robustness,Rosenbrock,SGD_Momentum_start3,42,,1.0817513465881348,fb38b04aa7353f0cb1dbdbc2f92772e4340ee9b7288cb8604227d4bcafa1441e,True
Robustness,Rosenbrock,SGD_Momentum_start4,42,,0.5307701826095581,4a65ab29e8abf1133e0b7a5c46b810749da2a491915aa2b873791d376fc9329b,True
Robustness,Rosenbrock,SGD_Momentum_start5,42,,8.017530490178615e-05,8e6e3024fc2a9712c18b729f2d08cca8a3e2f0b60a9ade6446dde1dc3df36b89,True
Robustness,Rosenbrock,SGD_Momentum_start6,42,,0.7878424525260925,103f0a1bf89ce5bf8a5219fc7f3596e1926b0ab75d3bd742fd8847d08ac36e03,True
Robustness,Rosenbrock,SGD_Momentum_start7,42,,0.0,1b37a35023d057647b8549a8af1c277ad811d84100a1b2d4bba2973579443432,True
Robustness,Rosenbrock,SGD_Momentum_start8,42,,0.3108105957508087,9c5d270cad7abd746239b4f2445b5b39cc190e568c803ceb207e8b54fd0b0e3e,True
Robustness,Rosenbrock,Adam_start0,42,,3.7463755688804667e-06,7a173087f98d6d337becdd2300c74d221ab30ae083339de3e70852bc2cfc0a75,True
Robustness,Rosenbrock,Adam_start1,42,,8.86163252289407e-05,2bd8317fd7df8fda174ee2717529c332ebe32c70e46a6d01efea8f90c05a56cd,True
Robustness,Rosenbrock,Adam_start2,42,,0.015473945997655392,33389932c1c85f25a57ad1ce2b84cf6437a10c284600b4242e498f70151c7e8d,True
