iteration,loss,grad_norm,x,y
0,1806.5,2.382816791534424,1.3868978023529053,-1.9625509977340698
5,769.0693359375,1.9580988883972168,0.8987993597984314,-1.7565010786056519
10,371.06463623046875,1.601499080657959,0.5380228161811829,-1.515181303024292
15,202.45761108398438,1.2898083925247192,0.30584532022476196,-1.250989317893982
20,118.80506896972656,1.022271752357483,0.17973649501800537,-1.0000799894332886
25,71.75462341308594,0.8039247989654541,0.11594362556934357,-0.7877610325813293
30,43.82110595703125,0.6306765079498291,0.08264424651861191,-0.6168414950370789
35,26.93939781188965,0.49447938799858093,0.06421148031949997,-0.48152199387550354
40,16.68025016784668,0.3877159357070923,0.053505152463912964,-0.37497758865356445
45,10.437488555908203,0.3041263818740845,0.04712413251399994,-0.2912406921386719
50,6.6405029296875,0.238748699426651,0.04333772510290146,-0.22544711828231812
55,4.33450174331665,0.18769313395023346,0.041206419467926025,-0.1737160086631775
60,2.93715238571167,0.14792615175247192,0.04019107297062874,-0.1329709142446518
65,2.0929582118988037,0.11709345877170563,0.03996986523270607,-0.10077429562807083
70,1.584967017173767,0.09337872266769409,0.04035000130534172,-0.07518862932920456
75,1.2809783220291138,0.07539036124944687,0.04122767969965935,-0.05466466024518013
80,1.1006944179534912,0.06206263601779938,0.042579419910907745,-0.03795633092522621
85,0.9956414103507996,0.05253960192203522,0.04448797181248665,-0.02407045289874077
90,0.9367759823799133,0.04596499353647232,0.04724640026688576,-0.01229734905064106
95,0.9059509038925171,0.041848134249448776,0.051862116903066635,-0.002585810609161854
100,0.8857623934745789,0.046655140817165375,0.061250459402799606,0.002461185911670327
105,0.8620442152023315,0.05866985768079758,0.0745244026184082,0.004297669045627117
110,0.832729697227478,0.07395359873771667,0.09122700989246368,0.006798709277063608
115,0.7967289090156555,0.09318994730710983,0.112142413854599,0.010743513703346252
120,0.7529157996177673,0.11737050116062164,0.1382286548614502,0.016937706619501114
125,0.7002494931221008,0.147713765501976,0.17057277262210846,0.02658403106033802
130,0.6379860639572144,0.18570107221603394,0.21034115552902222,0.04142697528004646
135,0.5659769177436829,0.23308740556240082,0.2588026821613312,0.06366144865751266
140,0.5173667669296265,0.27954456210136414,0.28550511598587036,0.08634120970964432
145,0.49520617723464966,0.291555792093277,0.3092436194419861,0.0850578248500824
150,0.4708056151866913,0.31626802682876587,0.3174501955509186,0.10820678621530533
155,0.4571833312511444,0.3261792063713074,0.3405492305755615,0.10508807748556137
160,0.43192657828330994,0.3494504988193512,0.3454010486602783,0.12911683320999146
165,0.4268243610858917,0.3572719395160675,0.36818069219589233,0.12453935295343399
170,0.39854708313941956,0.3794662356376648,0.37012219429016113,0.14924290776252747
