dataset,model,optimizer,seed,final_test_acc,final_loss,run_signature,completed
2D,Rosenbrock,SGD,42,,118.64051,5ae5c74f0df717304858d7f8003875aba631c6920ba9964dc6a91202b5dbdb7a,True
2D,Rosenbrock,SGD,123,,453.62268,741c9aa54b66482c911cc3e4dd13409c5e7f2321751f7c72fb1e67087fb53b8a,True
2D,Rosenbrock,SGD,456,,28.362173,fa57d93988d92e13ec717a1bc3267b358b6930e00a8d4da7e836f68231b5eae5,True
2D,Rosenbrock,Adam,42,,0.0069541065,62276dfa493d1cf72eb8d3ec445ef6f4722b4daa687f9ff7dfc4c7830fd6dcec,True
2D,Rosenbrock,Adam,123,,0.0022053495,9cc7e0b5e831e6f3c99f7968e47bff13739259b745b545820404ff8cefc495d7,True
2D,Rosenbrock,Adam,456,,0.100102305,4d7ecec1e1f7c2db95d066d77aeb7973a101603a6a877bb914bc9cfeb89dd9a8,True
2D,Rosenbrock,SAM_SGD,42,,0.31985047,675c8d2180ad9f54def347241b50d061b222aa891812628365b1f4305b462152,True
2D,Rosenbrock,SAM_SGD,123,,0.50366056,52657fd3e5fc8bb65297a60f7f0ba08ee063dc1adb70bbd80250108b5eb4cb58,True
2D,Rosenbrock,SAM_SGD,456,,1.0234791,e9398187a8ef98ce8d0bfb47cafbbad532345bc2c7c8e3bb4946f429a5a42ee2,True
2D,Rastrigin,SGD,42,,4.1103487,de9d2518f80e4eace975108b9716dc250e80ef5a3cec8f0e995eb968922cb5d3,True
2D,Rastrigin,SGD,123,,28.85355,e43e2bb64d00cfa61dc542ddd5e0d17241ea08583996eddcebf7c61cab448163,True
2D,Rastrigin,SGD,456,,4.9747906,b9a716b6e5f50a52e34b8adf2465a515fa63f8f048dab9977bdd82468aad60ed,True
2D,Rastrigin,Adam,42,,3.9798317,7e2ca486203a0d3bd77f792533d001c8011efa353ba64db2de12be67815dea57,True
2D,Rastrigin,Adam,123,,28.85355,f13dc6ecf7ec3a2dfc2c937a48b4c14e41709f5ef8bb979b7eee420a6d71cc30,True
2D,Rastrigin,Adam,456,,4.9747906,10eab2b653c964aca9cdf63ebe21ac0332570819aa96e1e5473328430df6f54d,True
2D,Rastrigin,SAM_SGD,42,,4.0081167,6189c1c4a80f72b80642a9b53914d2da139acc44a59e85e25766026792a4a7cd,True
2D,Rastrigin,SAM_SGD,123,,44.365334,6fb4836c37b098c6bec25e9eb9885618ab7d43d817aa188285da3d6d726443ba,True
2D,Rastrigin,SAM_SGD,456,,5.0060005,30f280da51ea31e7bb2dae6004c873b99478c2af389c02608470ae230cc2b864,True
2D,Rosenbrock,SGD,42,,117.72798895455495,5ae5c74f0df717304858d7f8003875aba631c6920ba9964dc6a91202b5dbdb7a,True
2D,Rosenbrock,SGD,123,,452.3403390677047,741c9aa54b66482c911cc3e4dd13409c5e7f2321751f7c72fb1e67087fb53b8a,True
2D,Rosenbrock,SGD,456,,28.296476377204336,fa57d93988d92e13ec717a1bc3267b358b6930e00a8d4da7e836f68231b5eae5,True
2D,Rosenbrock,Adam,42,,0.03128033618179882,62276dfa493d1cf72eb8d3ec445ef6f4722b4daa687f9ff7dfc4c7830fd6dcec,True
2D,Rosenbrock,Adam,123,,0.0013310268153373796,9cc7e0b5e831e6f3c99f7968e47bff13739259b745b545820404ff8cefc495d7,True
2D,Rosenbrock,Adam,456,,0.006514834264108418,4d7ecec1e1f7c2db95d066d77aeb7973a101603a6a877bb914bc9cfeb89dd9a8,True
2D,Rosenbrock,SAM_SGD,42,,0.01619975259177201,675c8d2180ad9f54def347241b50d061b222aa891812628365b1f4305b462152,True
2D,Rosenbrock,SAM_SGD,123,,0.6661279748264995,52657fd3e5fc8bb65297a60f7f0ba08ee063dc1adb70bbd80250108b5eb4cb58,True
2D,Rosenbrock,SAM_SGD,456,,1.6001093094634717,e9398187a8ef98ce8d0bfb47cafbbad532345bc2c7c8e3bb4946f429a5a42ee2,True
2D,Rastrigin,SGD,42,,4.092124990332502,de9d2518f80e4eace975108b9716dc250e80ef5a3cec8f0e995eb968922cb5d3,True
2D,Rastrigin,SGD,123,,28.85355412514215,e43e2bb64d00cfa61dc542ddd5e0d17241ea08583996eddcebf7c61cab448163,True
2D,Rastrigin,SGD,456,,4.9747902476484,b9a716b6e5f50a52e34b8adf2465a515fa63f8f048dab9977bdd82468aad60ed,True
2D,Rastrigin,Adam,42,,3.9798311912099393,7e2ca486203a0d3bd77f792533d001c8011efa353ba64db2de12be67815dea57,True
2D,Rastrigin,Adam,123,,28.85355412773973,f13dc6ecf7ec3a2dfc2c937a48b4c14e41709f5ef8bb979b7eee420a6d71cc30,True
2D,Rastrigin,Adam,456,,4.974790249648477,10eab2b653c964aca9cdf63ebe21ac0332570819aa96e1e5473328430df6f54d,True
2D,Rastrigin,SAM_SGD,42,,4.010196600294867,6189c1c4a80f72b80642a9b53914d2da139acc44a59e85e25766026792a4a7cd,True
2D,Rastrigin,SAM_SGD,123,,44.357739446704954,6fb4836c37b098c6bec25e9eb9885618ab7d43d817aa188285da3d6d726443ba,True
2D,Rastrigin,SAM_SGD,456,,5.002218401265571,30f280da51ea31e7bb2dae6004c873b99478c2af389c02608470ae230cc2b864,True
