beta1,beta2,iterations_to_converge,converged,optimizer
0.5,0.9,5000,False,Adam
0.5,0.9071357142857144,5000,False,Adam
0.5,0.9142714285714286,5000,False,Adam
0.5,0.9214071428571428,5000,False,Adam
0.5,0.9285428571428572,5000,False,Adam
0.5,0.9356785714285716,5000,False,Adam
0.5,0.9428142857142856,5000,False,Adam
0.5,0.94995,5000,False,Adam
0.5,0.9570857142857144,5000,False,Adam
0.5,0.9642214285714286,5000,False,Adam
0.5,0.9713571428571428,5000,False,Adam
0.5,0.9784928571428572,5000,False,Adam
0.5,0.9856285714285714,5000,False,Adam
0.5,0.9927642857142858,5000,False,Adam
0.5,0.9999,5000,False,Adam
0.535,0.9,5000,False,Adam
0.535,0.9071357142857144,5000,False,Adam
0.535,0.9142714285714286,5000,False,Adam
0.535,0.9214071428571428,5000,False,Adam
0.535,0.9285428571428572,5000,False,Adam
0.535,0.9356785714285716,5000,False,Adam
0.535,0.9428142857142856,5000,False,Adam
0.535,0.94995,5000,False,Adam
0.535,0.9570857142857144,5000,False,Adam
0.535,0.9642214285714286,5000,False,Adam
0.535,0.9713571428571428,5000,False,Adam
0.535,0.9784928571428572,5000,False,Adam
0.535,0.9856285714285714,5000,False,Adam
0.535,0.9927642857142858,5000,False,Adam
0.535,0.9999,5000,False,Adam
0.57,0.9,5000,False,Adam
0.57,0.9071357142857144,5000,False,Adam
0.57,0.9142714285714286,5000,False,Adam
0.57,0.9214071428571428,5000,False,Adam
0.57,0.9285428571428572,5000,False,Adam
0.57,0.9356785714285716,5000,False,Adam
0.57,0.9428142857142856,5000,False,Adam
0.57,0.94995,5000,False,Adam
0.57,0.9570857142857144,5000,False,Adam
0.57,0.9642214285714286,5000,False,Adam
0.57,0.9713571428571428,5000,False,Adam
0.57,0.9784928571428572,5000,False,Adam
0.57,0.9856285714285714,5000,False,Adam
0.57,0.9927642857142858,5000,False,Adam
0.57,0.9999,5000,False,Adam
0.605,0.9,5000,False,Adam
0.605,0.9071357142857144,5000,False,Adam
0.605,0.9142714285714286,5000,False,Adam
0.605,0.9214071428571428,5000,False,Adam
0.605,0.9285428571428572,5000,False,Adam
0.605,0.9356785714285716,5000,False,Adam
0.605,0.9428142857142856,5000,False,Adam
0.605,0.94995,5000,False,Adam
0.605,0.9570857142857144,5000,False,Adam
0.605,0.9642214285714286,5000,False,Adam
0.605,0.9713571428571428,5000,False,Adam
0.605,0.9784928571428572,5000,False,Adam
0.605,0.9856285714285714,5000,False,Adam
0.605,0.9927642857142858,5000,False,Adam
0.605,0.9999,5000,False,Adam
0.64,0.9,5000,False,Adam
0.64,0.9071357142857144,5000,False,Adam
0.64,0.9142714285714286,5000,False,Adam
0.64,0.9214071428571428,5000,False,Adam
0.64,0.9285428571428572,5000,False,Adam
0.64,0.9356785714285716,5000,False,Adam
0.64,0.9428142857142856,5000,False,Adam
0.64,0.94995,5000,False,Adam
0.64,0.9570857142857144,5000,False,Adam
0.64,0.9642214285714286,5000,False,Adam
0.64,0.9713571428571428,5000,False,Adam
0.64,0.9784928571428572,5000,False,Adam
0.64,0.9856285714285714,5000,False,Adam
0.64,0.9927642857142858,5000,False,Adam
0.64,0.9999,5000,False,Adam
0.675,0.9,5000,False,Adam
0.675,0.9071357142857144,5000,False,Adam
0.675,0.9142714285714286,5000,False,Adam
0.675,0.9214071428571428,5000,False,Adam
0.675,0.9285428571428572,5000,False,Adam
0.675,0.9356785714285716,5000,False,Adam
0.675,0.9428142857142856,5000,False,Adam
0.675,0.94995,5000,False,Adam
0.675,0.9570857142857144,5000,False,Adam
0.675,0.9642214285714286,5000,False,Adam
0.675,0.9713571428571428,5000,False,Adam
0.675,0.9784928571428572,5000,False,Adam
0.675,0.9856285714285714,5000,False,Adam
0.675,0.9927642857142858,5000,False,Adam
0.675,0.9999,5000,False,Adam
0.71,0.9,5000,False,Adam
0.71,0.9071357142857144,5000,False,Adam
0.71,0.9142714285714286,5000,False,Adam
0.71,0.9214071428571428,5000,False,Adam
0.71,0.9285428571428572,5000,False,Adam
0.71,0.9356785714285716,5000,False,Adam
0.71,0.9428142857142856,5000,False,Adam
0.71,0.94995,5000,False,Adam
0.71,0.9570857142857144,5000,False,Adam
0.71,0.9642214285714286,5000,False,Adam
0.71,0.9713571428571428,5000,False,Adam
0.71,0.9784928571428572,5000,False,Adam
0.71,0.9856285714285714,5000,False,Adam
0.71,0.9927642857142858,5000,False,Adam
0.71,0.9999,5000,False,Adam
0.745,0.9,5000,False,Adam
0.745,0.9071357142857144,5000,False,Adam
0.745,0.9142714285714286,5000,False,Adam
0.745,0.9214071428571428,5000,False,Adam
0.745,0.9285428571428572,5000,False,Adam
0.745,0.9356785714285716,5000,False,Adam
0.745,0.9428142857142856,5000,False,Adam
0.745,0.94995,5000,False,Adam
0.745,0.9570857142857144,5000,False,Adam
0.745,0.9642214285714286,5000,False,Adam
0.745,0.9713571428571428,5000,False,Adam
0.745,0.9784928571428572,5000,False,Adam
0.745,0.9856285714285714,5000,False,Adam
0.745,0.9927642857142858,5000,False,Adam
0.745,0.9999,5000,False,Adam
0.78,0.9,5000,False,Adam
0.78,0.9071357142857144,5000,False,Adam
0.78,0.9142714285714286,5000,False,Adam
0.78,0.9214071428571428,5000,False,Adam
0.78,0.9285428571428572,5000,False,Adam
0.78,0.9356785714285716,5000,False,Adam
0.78,0.9428142857142856,5000,False,Adam
0.78,0.94995,5000,False,Adam
0.78,0.9570857142857144,5000,False,Adam
0.78,0.9642214285714286,5000,False,Adam
0.78,0.9713571428571428,5000,False,Adam
0.78,0.9784928571428572,5000,False,Adam
0.78,0.9856285714285714,5000,False,Adam
0.78,0.9927642857142858,5000,False,Adam
0.78,0.9999,5000,False,Adam
0.815,0.9,5000,False,Adam
0.815,0.9071357142857144,5000,False,Adam
0.815,0.9142714285714286,5000,False,Adam
0.815,0.9214071428571428,5000,False,Adam
0.815,0.9285428571428572,5000,False,Adam
0.815,0.9356785714285716,5000,False,Adam
0.815,0.9428142857142856,5000,False,Adam
0.815,0.94995,5000,False,Adam
0.815,0.9570857142857144,5000,False,Adam
0.815,0.9642214285714286,5000,False,Adam
0.815,0.9713571428571428,5000,False,Adam
0.815,0.9784928571428572,5000,False,Adam
0.815,0.9856285714285714,5000,False,Adam
0.815,0.9927642857142858,5000,False,Adam
0.815,0.9999,5000,False,Adam
0.85,0.9,5000,False,Adam
0.85,0.9071357142857144,5000,False,Adam
0.85,0.9142714285714286,5000,False,Adam
0.85,0.9214071428571428,5000,False,Adam
0.85,0.9285428571428572,5000,False,Adam
0.85,0.9356785714285716,5000,False,Adam
0.85,0.9428142857142856,5000,False,Adam
0.85,0.94995,5000,False,Adam
0.85,0.9570857142857144,5000,False,Adam
0.85,0.9642214285714286,5000,False,Adam
0.85,0.9713571428571428,5000,False,Adam
0.85,0.9784928571428572,5000,False,Adam
0.85,0.9856285714285714,5000,False,Adam
0.85,0.9927642857142858,5000,False,Adam
0.85,0.9999,5000,False,Adam
0.885,0.9,5000,False,Adam
0.885,0.9071357142857144,5000,False,Adam
0.885,0.9142714285714286,5000,False,Adam
0.885,0.9214071428571428,5000,False,Adam
0.885,0.9285428571428572,5000,False,Adam
0.885,0.9356785714285716,5000,False,Adam
0.885,0.9428142857142856,5000,False,Adam
0.885,0.94995,5000,False,Adam
0.885,0.9570857142857144,5000,False,Adam
0.885,0.9642214285714286,5000,False,Adam
0.885,0.9713571428571428,5000,False,Adam
0.885,0.9784928571428572,5000,False,Adam
0.885,0.9856285714285714,5000,False,Adam
0.885,0.9927642857142858,5000,False,Adam
0.885,0.9999,5000,False,Adam
0.92,0.9,5000,False,Adam
0.92,0.9071357142857144,5000,False,Adam
0.92,0.9142714285714286,5000,False,Adam
0.92,0.9214071428571428,5000,False,Adam
0.92,0.9285428571428572,5000,False,Adam
0.92,0.9356785714285716,5000,False,Adam
0.92,0.9428142857142856,5000,False,Adam
0.92,0.94995,5000,False,Adam
0.92,0.9570857142857144,4075,True,Adam
0.92,0.9642214285714286,5000,False,Adam
0.92,0.9713571428571428,5000,False,Adam
0.92,0.9784928571428572,5000,False,Adam
0.92,0.9856285714285714,5000,False,Adam
0.92,0.9927642857142858,5000,False,Adam
0.92,0.9999,5000,False,Adam
0.955,0.9,5000,False,Adam
0.955,0.9071357142857144,5000,False,Adam
0.955,0.9142714285714286,5000,False,Adam
0.955,0.9214071428571428,5000,False,Adam
0.955,0.9285428571428572,5000,False,Adam
0.955,0.9356785714285716,5000,False,Adam
0.955,0.9428142857142856,5000,False,Adam
0.955,0.94995,5000,False,Adam
0.955,0.9570857142857144,5000,False,Adam
0.955,0.9642214285714286,5000,False,Adam
0.955,0.9713571428571428,5000,False,Adam
0.955,0.9784928571428572,5000,False,Adam
0.955,0.9856285714285714,5000,False,Adam
0.955,0.9927642857142858,4645,True,Adam
0.955,0.9999,5000,False,Adam
0.99,0.9,5000,False,Adam
0.99,0.9071357142857144,5000,False,Adam
0.99,0.9142714285714286,5000,False,Adam
0.99,0.9214071428571428,5000,False,Adam
0.99,0.9285428571428572,5000,False,Adam
0.99,0.9356785714285716,5000,False,Adam
0.99,0.9428142857142856,5000,False,Adam
0.99,0.94995,5000,False,Adam
0.99,0.9570857142857144,5000,False,Adam
0.99,0.9642214285714286,5000,False,Adam
0.99,0.9713571428571428,5000,False,Adam
0.99,0.9784928571428572,5000,False,Adam
0.99,0.9856285714285714,5000,False,Adam
0.99,0.9927642857142858,5000,False,Adam
0.99,0.9999,5000,False,Adam
