optimizer,escaped,escape_iteration,final_x,final_y,final_loss,run_status
SGD,True,600,0.0007232344402900369,27.26101520280009,-364.2561073560429,escaped_saddle
SGD+Momentum,True,80,,,,error_diverged
Adam,True,50,0.00476485060936067,-15.843105600212963,-125.26035563393476,escaped_saddle
