iteration,x,y,loss,grad_norm,lambda_min,lambda_max
0,1e-06,0.0,5e-13,0.015264956499870747,-1.0,1.0
1,0.00014464611937526272,5.1649608737360113e-05,9.127408883800185e-09,0.01997708682777447,-1.0,1.0
2,7.480240219679501e-05,8.208605626604777e-05,-5.713606294508386e-10,0.008902823957899075,-1.0,1.0
3,5.0693573171040616e-06,0.00019824134942395574,-1.9636967118911222e-08,0.008919492759840228,-1.0,1.0
4,-4.798054109997549e-05,0.0003914459545398929,-7.546390150070074e-08,0.01634502312761582,-1.0,1.0
5,6.628499818016315e-05,0.0005436830926563498,-1.455988021283144e-07,0.024062179614223293,-1.0,1.0
6,0.00039333620521339537,0.0007680333844773264,-2.175809546700112e-07,0.022424972279201573,-1.0,1.0
7,0.0006024983932335328,0.0007625079528418021,-1.092070321490036e-07,0.02675802544452156,-1.0,1.0
8,0.0006217429876430077,0.0005500797007810502,4.198833273594175e-08,0.002626324339260849,-1.0,1.0
9,0.0006198635549677211,0.00034097404636671344,1.3398376324076568e-07,0.01469013859472842,-1.0,1.0
10,0.0007594019040277045,0.00019320357760981967,2.696818147198347e-07,0.02445227803942507,-1.0,1.0
11,0.0006837348385640597,0.00019909569073188235,2.1392711769910773e-07,0.011024534612164537,-1.0,1.0
12,0.000686235267392315,0.00028907187706047715,1.936781460528672e-07,0.005361766541466725,-1.0,1.0
13,0.0006703279689382068,0.0003196009398848465,1.735974125827721e-07,0.0029324929306985626,-1.0,1.0
14,0.0006566667859042985,0.00037639470118242126,1.447691483158388e-07,0.02662732551502158,-1.0,1.0
15,0.00038808328778378633,0.0004997426333958744,-4.9567030688185126e-08,0.0018286474864266404,-1.0,1.0
16,0.00015436791668981467,0.0006271947088479755,-1.847718745518716e-07,0.012675549366577447,-1.0,1.0
17,-0.00015173626688909654,0.0006588539360898566,-2.0553230720582887e-07,0.0047050991185458866,-1.0,1.0
18,-0.00038023633308695314,0.0006896684522856291,-1.6553145253932136e-07,0.0138779977508936,-1.0,1.0
19,-0.0004550753773834016,0.0006710511076039559,-1.216079949579253e-07,0.016870635118044586,-1.0,1.0
20,-0.0006908222026402147,0.0006439963119793602,3.125203290883025e-08,0.0269206056792899,-1.0,1.0
21,-0.001061731975669132,0.00040222053538073574,4.827467145381563e-07,0.0009864241378072275,-1.0,1.0
22,-0.0013932003056249757,0.00017504222325746095,9.551836558353052e-07,0.012942235330657467,-1.0,1.0
23,-0.0015667317345221421,-6.37342080005265e-05,1.225293139344653e-06,0.001561531249392446,-1.0,1.0
24,-0.0017316962540182813,-0.00026572408117578913,1.4640813144321152e-06,0.0038726196424401856,-1.0,1.0
25,-0.0018829663451208154,-0.0004088902734620171,1.6891855005628993e-06,0.014238515258910487,-1.0,1.0
26,-0.0018997378098912958,-0.00046012574548331156,1.6986440223370022e-06,0.012223214419592697,-1.0,1.0
27,-0.0017983735812430893,-0.0005433604923796835,1.4694534565170012e-06,0.0036234357927160342,-1.0,1.0
28,-0.0016792627410554119,-0.000641411883142784,1.2042570748300815e-06,0.012412802286453981,-1.0,1.0
29,-0.001449674699982259,-0.0007503674027658757,7.692527483175233e-07,0.019160922292271072,-1.0,1.0
30,-0.0012895330623570087,-0.0006625430047134707,6.119661429085455e-07,0.017471363737463434,-1.0,1.0
31,-0.0009969798298056633,-0.0006756674679135053,2.687211269213408e-07,0.005765290021614572,-1.0,1.0
32,-0.0007513239939919915,-0.0006325921989563815,8.215742688380399e-08,0.01744941942249102,-1.0,1.0
33,-0.0004768183391660212,-0.00042770697261364194,2.221123707135809e-08,0.009010467566123488,-1.0,1.0
34,-0.00018539141802182134,-0.0003217321607381045,-3.45708026885339e-08,0.005783348598314216,-1.0,1.0
35,0.00013168698766677172,-0.00020785320025042283,-1.2930745066796942e-08,0.014929493994998955,-1.0,1.0
36,0.0005641735588468189,-7.994836286192927e-05,1.559500318887912e-07,0.008376430121063245,-1.0,1.0
37,0.0009816552840393243,-4.369303082764815e-05,4.808690078697103e-07,0.01823427276393311,-1.0,1.0
38,0.0015397262915044447,-9.676544225270867e-06,1.1853317086209433e-06,0.019846447762679048,-1.0,1.0
39,0.002235817178103694,6.359096948316075e-05,2.4974173212518784e-06,0.0231839968502901,-1.0,1.0
40,0.0027778501341775815,0.0003454441309621894,3.798559860167093e-06,0.021554598018999612,-1.0,1.0
41,0.0033481057215819085,0.0007982753166562094,5.28628422085347e-06,0.004520849463772015,-1.0,1.0
42,0.003822103935115586,0.0012282883046352898,6.549893165761107e-06,0.023264706712167293,-1.0,1.0
43,0.004362275493831124,0.001818341353355541,7.861541103378358e-06,0.021121662912092515,-1.0,1.0
44,0.0046401389320484925,0.0023143557063870007,8.087323486513027e-06,0.006697886151784314,-1.0,1.0
45,0.004945219510383528,0.00279898883663113,8.310428749146107e-06,0.014131298720270344,-1.0,1.0
46,0.005118498449715897,0.0031366245441929327,8.18030642425526e-06,0.03158202931008887,-1.0,1.0
47,0.004991514789512291,0.0035808192019986525,6.046476868258834e-06,0.01079995578072966,-1.0,1.0
48,0.004788190347761728,0.0040417166869050145,3.2956465145960632e-06,0.01469401762732148,-1.0,1.0
49,0.004577726556196635,0.0046008737078295225,-1.0622922604454024e-07,0.012309151831720103,-1.0,1.0
50,0.0043782455108410485,0.00522679446737412,-4.0751733254864596e-06,0.021750303784536167,-1.0,1.0
51,0.004093900711890866,0.0059807065864125285,-9.50441411696883e-06,0.030321106857246025,-1.0,1.0
52,0.004139929728947959,0.006686968968146375,-1.3788267910162738e-05,0.020785752127638554,-1.0,1.0
53,0.004232157284086307,0.007524158982586894,-1.935090655899913e-05,0.014708707197835237,-1.0,1.0
54,0.004446723199927716,0.008343404454478356,-2.4919525337116944e-05,0.015646456022521658,-1.0,1.0
55,0.004483852729111406,0.009093032374560325,-3.128915123422118e-05,0.0023848751577982366,-1.0,1.0
56,0.004534167561663577,0.009750868602304834,-3.7260381511085994e-05,0.0192252989578225,-1.0,1.0
57,0.004497079268830683,0.010516633971845022,-4.518793407380905e-05,0.016801552975331806,-1.0,1.0
58,0.004313759261823876,0.011281632115640615,-5.433335211184124e-05,0.01619090075624814,-1.0,1.0
59,0.004009700980955512,0.011887220943411474,-6.261415990040239e-05,0.02244196042450571,-1.0,1.0
60,0.003853114518499562,0.012623718151086365,-7.225588423269762e-05,0.015766749217272804,-1.0,1.0
61,0.003624118445736658,0.013417344154103377,-8.344544482046169e-05,0.008607866907175951,-1.0,1.0
62,0.0033852538177591564,0.014211205199975607,-9.524920491258039e-05,0.0103534066276838,-1.0,1.0
63,0.0031645685219697907,0.015029056790171387,-0.00010792902703597731,0.01533416317632484,-1.0,1.0
64,0.003103726500134231,0.01583244168719653,-0.00012051654579542155,0.03751817075121362,-1.0,1.0
65,0.0029308658668951693,0.016911596279028506,-0.00013870605698755982,0.025145636924318794,-1.0,1.0
66,0.0025945406835919537,0.018057648229836614,-0.00015967350911685378,0.02741250412074231,-1.0,1.0
67,0.0021506580080420485,0.019324062896416083,-0.0001843970384785447,0.011910701973996726,-1.0,1.0
68,0.0017961003531273452,0.020574140993662907,-0.00021003465057430816,0.01856653860334637,-1.0,1.0
69,0.0014457356229029938,0.021882225680498323,-0.00023837082462046478,0.01934339073201265,-1.0,1.0
70,0.0012105191253497934,0.02323556660967179,-0.00026921309955982856,0.023272844299363514,-1.0,1.0
71,0.0008975400358593044,0.024663106332518527,-0.00030373161792657255,0.023659783006830214,-1.0,1.0
72,0.00044190141060054767,0.02610825835328867,-0.0003407229386926885,0.03999879451385405,-1.0,1.0
73,-6.406199700350842e-05,0.027797219423144306,-0.0003863406518594855,0.036948429336810286,-1.0,1.0
74,-0.0004375996125233601,0.029677593397755372,-0.0004402840282308063,0.033206926779389745,-1.0,1.0
75,-0.0004849507190697853,0.03153377637440852,-0.0004970719376156393,0.03596153965388058,-1.0,1.0
76,-0.0005687048006940603,0.03356159571233032,-0.0005630286408037882,0.03784127656040789,-1.0,1.0
77,-0.0005912425317345997,0.03576133840862454,-0.0006392618785224164,0.032043319592705434,-1.0,1.0
78,-0.0004732025088086383,0.038030146468160664,-0.0007230340598877051,0.017397076836762795,-1.0,1.0
79,-0.0002565866364231667,0.04020654348255803,-0.0008082501510564195,0.048725106172402645,-1.0,1.0
80,-0.00022673602486822196,0.04262372677003895,-0.0009083653372709811,0.05123067809936896,-1.0,1.0
81,1.1669448031378639e-05,0.045265784805275,-0.001024495568930724,0.029626838045024872,-1.0,1.0
82,0.00022060921603225047,0.047939852011045975,-0.0011490903712073953,0.025162409855772568,-1.0,1.0
