Seed,Hidden_Size,Num_Parameters,Train_Acc,Test_Acc,Train_Loss,Test_Loss
42,32,25450,96.55,91.55,0.1268016358911991,0.2838153018951416
42,64,50890,97.28,91.95,0.1041497336000204,0.2641907343864441
42,128,101770,97.73,92.5,0.09525309244692326,0.2541348810195923
42,256,203530,98.0,92.5,0.08697866015434265,0.23691813123226166
42,512,407050,98.38,93.15,0.07609491698145866,0.22565336179733275
123,32,25450,96.14,90.3,0.13850363475680352,0.3112962698936462
123,64,50890,97.15,91.7,0.10953560537695885,0.26605737483501435
123,128,101770,97.42,92.15,0.10028996288180352,0.2544263737201691
123,256,203530,98.0,92.8,0.08640404195189476,0.23495559668540955
123,512,407050,98.33,93.15,0.07535208976119756,0.2274830425977707
456,32,25450,96.58,91.35,0.12111056462526322,0.2846396989822388
456,64,50890,97.13,91.6,0.10983578747212887,0.2704112811088562
456,128,101770,97.7,92.3,0.09501869090795517,0.24903397250175477
456,256,203530,98.0,92.5,0.0863835869461298,0.2366804883480072
456,512,407050,98.37,92.9,0.07646680569648742,0.22560699200630188
789,32,25450,96.77,91.15,0.1252023976534605,0.27793751096725466
789,64,50890,97.15,91.8,0.10685139499604702,0.26965489506721496
789,128,101770,97.58,92.25,0.0964955735296011,0.24816721534729003
789,256,203530,98.14,92.85,0.08344444077908993,0.23269464206695556
789,512,407050,98.39,93.05,0.07515572708845139,0.22416106820106507
1011,32,25450,96.12,90.85,0.1363725619673729,0.29436317682266233
1011,64,50890,97.15,91.9,0.11078963541984559,0.2688996741771698
1011,128,101770,97.68,92.3,0.09319616398811341,0.24043388104438781
1011,256,203530,98.12,92.65,0.08425103596746922,0.23210152077674867
1011,512,407050,98.36,92.95,0.07722573782652617,0.22915289890766144
1213,32,25450,96.3,90.7,0.1353941579580307,0.3078017075061798
1213,64,50890,97.2,91.85,0.10810464918911457,0.26895543265342714
1213,128,101770,97.4,92.6,0.09796828014850617,0.25063886141777036
1213,256,203530,98.0,93.0,0.08583068435192108,0.2415728006362915
1213,512,407050,98.38,92.95,0.07660755904316902,0.2250612975358963
1415,32,25450,96.18,91.15,0.13315883483886717,0.30018327045440674
1415,64,50890,97.25,92.05,0.10776259929537774,0.25843159675598143
1415,128,101770,97.68,91.95,0.09382141667306423,0.24515892803668976
1415,256,203530,98.07,92.9,0.08451921260356902,0.23717569077014924
1415,512,407050,98.4,93.15,0.0761723921597004,0.22930283415317534
1617,32,25450,96.35,92.0,0.12918863933086394,0.2830759723186493
1617,64,50890,96.82,91.95,0.11470662558674813,0.27197896361351015
1617,128,101770,97.78,92.55,0.09295813442468644,0.24600321340560913
1617,256,203530,98.06,92.85,0.08647618987560272,0.2322095047235489
1617,512,407050,98.41,92.5,0.07639248747229577,0.2294046393632889
1819,32,25450,96.11,91.3,0.1358100393474102,0.2878083341121674
1819,64,50890,97.33,91.85,0.1010617457896471,0.2595591778755188
1819,128,101770,97.71,92.2,0.09338109940290451,0.2450332897901535
1819,256,203530,98.11,92.55,0.08532615416049957,0.23522359418869018
1819,512,407050,98.37,93.2,0.07593371036946774,0.22412820863723754
2021,32,25450,96.29,90.25,0.13740993728637696,0.3016123604774475
2021,64,50890,96.96,91.7,0.11146044190227986,0.27395039033889773
2021,128,101770,97.77,92.2,0.09424009267389774,0.24849117195606232
2021,256,203530,97.93,92.4,0.08712687709331512,0.23535049939155578
2021,512,407050,98.36,92.8,0.07592870081067085,0.22826216089725496
