Seed,Dropout_Rate,Train_Acc,Test_Acc,Train_Loss,Test_Loss,Overfit_Gap
42,0.0,98.0,92.5,0.08697866015434265,0.23691813123226166,5.5
42,0.1,98.06,92.8,0.08450654144883156,0.22832918238639832,5.260000000000005
42,0.2,97.94,93.1,0.08545635336339474,0.2262242977619171,4.840000000000003
42,0.3,97.75,92.85,0.08882750987410545,0.2271480175256729,4.900000000000006
42,0.5,97.49,92.5,0.09357487507909536,0.2276188290119171,4.989999999999995
123,0.0,98.0,92.8,0.08640404195189476,0.23495559668540955,5.200000000000003
123,0.1,97.88,92.7,0.08477030597031117,0.22844006431102754,5.179999999999993
123,0.2,97.96,93.05,0.08263905547261238,0.2209060800075531,4.909999999999997
123,0.3,97.81,92.85,0.08505129292905331,0.21866569089889526,4.960000000000008
123,0.5,97.44,92.7,0.09251447541117667,0.22631418204307557,4.739999999999995
456,0.0,98.0,92.5,0.0863835869461298,0.2366804883480072,5.5
456,0.1,98.06,92.65,0.08381865586936474,0.23040743231773375,5.409999999999997
456,0.2,97.97,92.6,0.08354209027439356,0.22479760813713073,5.3700000000000045
456,0.3,97.78,92.55,0.08674033181220293,0.22704445743560792,5.230000000000004
456,0.5,97.46,92.65,0.0904880252942443,0.2227380259037018,4.809999999999988
789,0.0,98.14,92.85,0.08344444077908993,0.23269464206695556,5.290000000000006
789,0.1,98.07,92.95,0.08164401646256447,0.2238040089607239,5.11999999999999
789,0.2,97.93,92.9,0.08267706347107888,0.22138708579540253,5.030000000000001
789,0.3,97.87,92.75,0.08360380718708038,0.21817562794685363,5.1200000000000045
789,0.5,97.73,92.6,0.08818316875994206,0.21597455847263336,5.13000000000001
1011,0.0,98.12,92.65,0.08425103596746922,0.23210152077674867,5.469999999999999
1011,0.1,98.1,93.1,0.0822626968935132,0.22252158045768738,5.0
1011,0.2,98.15,93.65,0.08152897039204836,0.21473087322711945,4.5
1011,0.3,97.97,93.3,0.08308230020552873,0.2146341527700424,4.670000000000002
1011,0.5,97.58,93.05,0.09151266271471978,0.21866546022891997,4.530000000000001
1213,0.0,98.0,93.0,0.08583068435192108,0.2415728006362915,5.0
1213,0.1,97.96,92.8,0.08408622318506241,0.23073293960094451,5.159999999999997
1213,0.2,97.96,93.1,0.08303463306725026,0.223758202791214,4.859999999999999
1213,0.3,97.92,92.9,0.08326548070013523,0.2218961955308914,5.019999999999996
1213,0.5,97.55,93.1,0.08907898526489734,0.21837432301044465,4.450000000000003
1415,0.0,98.07,92.9,0.08451921260356902,0.23717569077014924,5.1699999999999875
1415,0.1,98.09,92.7,0.08199020370841026,0.22763248908519745,5.390000000000001
1415,0.2,98.04,92.65,0.0822837046712637,0.22416849315166473,5.390000000000001
1415,0.3,98.0,92.7,0.0835161111831665,0.22332775568962096,5.299999999999997
1415,0.5,97.69,92.4,0.0885623393267393,0.2258054497241974,5.289999999999992
1617,0.0,98.06,92.85,0.08647618987560272,0.2322095047235489,5.210000000000008
1617,0.1,98.03,92.95,0.08355423384606839,0.22118474793434142,5.079999999999998
1617,0.2,97.93,92.65,0.0835540357798338,0.2199924144744873,5.280000000000001
1617,0.3,97.92,92.95,0.08410060970783234,0.2153755090236664,4.969999999999999
1617,0.5,97.47,92.45,0.09193680891394615,0.22166151988506316,5.019999999999996
1819,0.0,98.11,92.55,0.08532615416049957,0.23522359418869018,5.560000000000002
1819,0.1,98.03,92.9,0.08273280794173479,0.22405866503715516,5.1299999999999955
1819,0.2,98.06,92.8,0.08094359817802906,0.21686675965785981,5.260000000000005
1819,0.3,97.87,93.0,0.08253236694782973,0.2143470253944397,4.8700000000000045
1819,0.5,97.75,93.3,0.08743896497488021,0.2119761474132538,4.450000000000003
2021,0.0,97.93,92.4,0.08712687709331512,0.23535049939155578,5.530000000000001
2021,0.1,97.94,92.85,0.08453409477621317,0.22451923632621765,5.090000000000003
2021,0.2,97.93,92.6,0.08487774914950133,0.22366519904136659,5.3300000000000125
2021,0.3,97.88,92.8,0.08404123250842094,0.2161342362165451,5.079999999999998
2021,0.5,97.69,92.8,0.08921093917787075,0.21501579713821412,4.890000000000001
