Seed,Gradient_Clip,Clip_Value,Train_Acc,Test_Acc,Train_Loss,Test_Loss
42,None,0.0,99.83666666666667,98.18,0.012867398198942344,0.06056918616183102
42,0.5,0.5,99.55,98.02,0.021636378617088,0.06243659405633807
42,1.0,1.0,99.83333333333333,98.13,0.013032457779347896,0.06102928628651425
42,5.0,5.0,99.83666666666667,98.18,0.012867398198942344,0.06056918616183102
42,10.0,10.0,99.83666666666667,98.18,0.012867398198942344,0.06056918616183102
123,None,0.0,99.825,98.19,0.012848356582721075,0.059521924253820906
123,0.5,0.5,99.50166666666667,98.05,0.022505157499512037,0.062099864152632654
123,1.0,1.0,99.835,98.18,0.01290323624710242,0.05894909803513437
123,5.0,5.0,99.825,98.19,0.012848356582721075,0.059521924253820906
123,10.0,10.0,99.825,98.19,0.012848356582721075,0.059521924253820906
456,None,0.0,99.85166666666667,98.09,0.012534155042966207,0.06135385002980474
456,0.5,0.5,99.56833333333333,98.13,0.021199643047153948,0.06375403364114464
456,1.0,1.0,99.84,98.1,0.012784120944390694,0.061129801288200544
456,5.0,5.0,99.85166666666667,98.09,0.012534155042966207,0.06135385002980474
456,10.0,10.0,99.85166666666667,98.09,0.012534155042966207,0.06135385002980474
789,None,0.0,99.85333333333334,98.09,0.01214808724919955,0.059638893697177994
789,0.5,0.5,99.61166666666666,97.96,0.020279949196676413,0.06208864823346957
789,1.0,1.0,99.85,98.03,0.012214741142590841,0.059791496200812984
789,5.0,5.0,99.85333333333334,98.09,0.01214808724919955,0.059638893697177994
789,10.0,10.0,99.85333333333334,98.09,0.01214808724919955,0.059638893697177994
1011,None,0.0,99.84333333333333,98.23,0.013237969104697307,0.06073030125247315
1011,0.5,0.5,99.52,98.11,0.02244353529612223,0.06279108507856726
1011,1.0,1.0,99.83333333333333,98.18,0.013463857583949964,0.06072530231857672
1011,5.0,5.0,99.84333333333333,98.23,0.013237969104697307,0.06073030125247315
1011,10.0,10.0,99.84333333333333,98.23,0.013237969104697307,0.06073030125247315
1213,None,0.0,99.83333333333333,98.01,0.01271158317575852,0.06166260901982896
1213,0.5,0.5,99.515,98.01,0.02211887515236934,0.06494766184696928
1213,1.0,1.0,99.82666666666667,98.02,0.012875395189970731,0.06183171247723512
1213,5.0,5.0,99.83333333333333,98.01,0.01271158317575852,0.06166260901982896
1213,10.0,10.0,99.83333333333333,98.01,0.01271158317575852,0.06166260901982896
1415,None,0.0,99.84333333333333,98.11,0.012868663995712995,0.059820693528768606
1415,0.5,0.5,99.52333333333333,98.01,0.0227579567566514,0.06354422928011044
1415,1.0,1.0,99.83666666666667,98.13,0.013173913037528594,0.05924279781084042
1415,5.0,5.0,99.84333333333333,98.11,0.012868663995712995,0.059820693528768606
1415,10.0,10.0,99.84333333333333,98.11,0.012868663995712995,0.059820693528768606
1617,None,0.0,99.84833333333333,98.12,0.01289826012973984,0.06060440619622823
1617,0.5,0.5,99.54166666666667,98.03,0.022008363795280456,0.06444953639153392
1617,1.0,1.0,99.83166666666666,98.11,0.013180457543581724,0.06152941000068095
1617,5.0,5.0,99.84833333333333,98.12,0.01289826012973984,0.06060440619622823
1617,10.0,10.0,99.84833333333333,98.12,0.01289826012973984,0.06060440619622823
1819,None,0.0,99.84833333333333,98.09,0.012604897737006347,0.060919187795720066
1819,0.5,0.5,99.59,98.11,0.020930378024776777,0.06283448828705586
1819,1.0,1.0,99.86333333333333,98.04,0.012517669146507978,0.06109419219936244
1819,5.0,5.0,99.84833333333333,98.09,0.012604897737006347,0.060919187795720066
1819,10.0,10.0,99.84833333333333,98.09,0.012604897737006347,0.060919187795720066
2021,None,0.0,99.83666666666667,98.01,0.012905893995861213,0.06155598701999988
2021,0.5,0.5,99.55333333333333,97.92,0.022047622674703598,0.06569435428343713
2021,1.0,1.0,99.82333333333334,97.99,0.013264137768248717,0.06242921990887262
2021,5.0,5.0,99.83666666666667,98.01,0.012905893995861213,0.06155598701999988
2021,10.0,10.0,99.83666666666667,98.01,0.012905893995861213,0.06155598701999988
