Seed,Label_Smoothing,Train_Acc,Test_Acc,Train_Loss,Test_Loss
42,0.0,98.0,92.5,0.08697866015434265,0.23691813123226166
42,0.05,98.28,93.7,0.1535069545507431,0.27431221985816956
42,0.1,98.17,93.95,0.22131036562919618,0.3410166335105896
42,0.15,98.05,94.0,0.28849503974914553,0.4078788275718689
42,0.2,97.88,93.95,0.35880823707580567,0.47748438119888303
123,0.0,98.0,92.8,0.08640404195189476,0.23495559668540955
123,0.05,98.13,93.55,0.15427884608507156,0.27872782707214355
123,0.1,98.08,94.1,0.22200515995025635,0.34534611439704893
123,0.15,97.99,93.85,0.2899418480157852,0.4130645716190338
123,0.2,97.85,93.8,0.3601888885498047,0.4830882642269135
456,0.0,98.0,92.5,0.0863835869461298,0.2366804883480072
456,0.05,98.21,93.65,0.15374789904356004,0.2754163239002228
456,0.1,98.21,93.85,0.22298002171516418,0.3445272262096405
456,0.15,98.05,93.75,0.29125569844245913,0.41186144399642943
456,0.2,97.85,93.6,0.3611968855857849,0.48056644225120543
789,0.0,98.14,92.85,0.08344444077908993,0.23269464206695556
789,0.05,98.32,93.85,0.1523372356414795,0.2766190664768219
789,0.1,98.14,94.0,0.22109440820217133,0.34359567642211913
789,0.15,98.06,93.85,0.28932033352851866,0.41099491477012634
789,0.2,97.92,93.9,0.35876872339248655,0.47897625184059145
1011,0.0,98.12,92.65,0.08425103596746922,0.23210152077674867
1011,0.05,98.28,93.85,0.1525710561156273,0.27527249145507815
1011,0.1,98.21,93.6,0.219922101354599,0.3423893196582794
1011,0.15,98.09,93.8,0.28758340301513674,0.4095279068946838
1011,0.2,97.99,93.8,0.35706213765144346,0.47797048950195314
1213,0.0,98.0,93.0,0.08583068435192108,0.2415728006362915
1213,0.05,98.18,93.5,0.15361807527542115,0.2791675229072571
1213,0.1,98.1,93.75,0.2226283603668213,0.34706799864768983
1213,0.15,97.96,94.0,0.2921784227371216,0.415045791387558
1213,0.2,97.85,93.95,0.36259445486068725,0.48395848512649536
1415,0.0,98.07,92.9,0.08451921260356902,0.23717569077014924
1415,0.05,98.26,93.7,0.15315479683876038,0.28007515716552733
1415,0.1,98.16,93.6,0.22318193397521974,0.3503038120269775
1415,0.15,98.03,93.6,0.2915504644155502,0.4184682354927063
1415,0.2,97.92,93.65,0.36255935015678403,0.4879038906097412
1617,0.0,98.06,92.85,0.08647618987560272,0.2322095047235489
1617,0.05,98.26,93.75,0.15451936022043228,0.27572470140457156
1617,0.1,98.12,93.9,0.22308403766155244,0.34445397305488584
1617,0.15,97.99,93.85,0.29137109570503233,0.4119700791835785
1617,0.2,97.87,93.75,0.3619766177654266,0.48169886207580564
1819,0.0,98.11,92.55,0.08532615416049957,0.23522359418869018
1819,0.05,98.26,94.15,0.1532326611638069,0.27455007696151734
1819,0.1,98.14,94.1,0.2207710101366043,0.341329745054245
1819,0.15,98.03,94.15,0.28896775817871095,0.4096315040588379
1819,0.2,97.95,94.15,0.3599597496986389,0.4796735899448395
2021,0.0,97.93,92.4,0.08712687709331512,0.23535049939155578
2021,0.05,98.26,93.7,0.15410494592189788,0.2758775961399078
2021,0.1,98.17,93.95,0.22257887337207793,0.3440702521800995
2021,0.15,98.07,94.0,0.2912362495422363,0.4127587411403656
2021,0.2,97.87,93.8,0.361980792427063,0.48318006467819213
