Seed,Augmentation,Train_Acc,Test_Acc,Train_Loss,Test_Loss
42,None,98.0,92.5,0.08697866015434265,0.23691813123226166
42,Standard,92.83,94.9,0.25591103131771087,0.20920902216434478
123,None,98.0,92.8,0.08640404195189476,0.23495559668540955
123,Standard,92.81,94.7,0.24949604896306993,0.20437481772899627
456,None,98.0,92.5,0.0863835869461298,0.2366804883480072
456,Standard,93.03,94.3,0.2551301702976227,0.2158703968524933
789,None,98.14,92.85,0.08344444077908993,0.23269464206695556
789,Standard,93.04,94.6,0.24694505665302277,0.20146582007408143
1011,None,98.12,92.65,0.08425103596746922,0.23210152077674867
1011,Standard,92.94,94.7,0.25206837682724,0.19725093066692354
1213,None,98.0,93.0,0.08583068435192108,0.2415728006362915
1213,Standard,92.87,94.25,0.2505862056255341,0.21675847029685974
1415,None,98.07,92.9,0.08451921260356902,0.23717569077014924
1415,Standard,92.79,95.0,0.2523965102672577,0.19294061207771301
1617,None,98.06,92.85,0.08647618987560272,0.2322095047235489
1617,Standard,93.0,94.5,0.24973210043907165,0.20952160716056822
1819,None,98.11,92.55,0.08532615416049957,0.23522359418869018
1819,Standard,93.14,94.7,0.25047125128507614,0.2034111864566803
2021,None,97.93,92.4,0.08712687709331512,0.23535049939155578
2021,Standard,93.02,94.3,0.25461422696709635,0.2064247533082962
