optimizer,seed,start_point,initial_x,initial_y,final_x,final_y,final_loss,final_grad_norm,iterations,converged
SGD,42,0,-1.5,2.0,0.0625152587890625,-0.36297607421875,2.780428171157837,10.0,20000,False
SGD,42,1,1.5,-2.0,0.01440027728676796,0.17050287127494812,11.840588569641113,10.0,20000,False
SGD,42,2,0.5,0.5,0.011719778180122375,0.08621224761009216,18.110727310180664,10.0,20000,False
SGD,42,3,-0.5,-0.5,0.02590354159474373,0.3217029571533203,4.150002479553223,10.0,20000,False
SGD,42,4,2.0,-1.0,0.06054310500621796,-0.21368765830993652,9.041449546813965,10.0,20000,False
SGD,42,5,-2.0,1.0,0.018810678273439407,0.24966758489608765,7.245743274688721,10.0,20000,False
SGD,42,6,0.0,0.0,0.011927656829357147,0.09684973955154419,17.240400314331055,9.999999046325684,20000,False
SGD,42,7,1.0,1.0,1.0,1.0,0.0,0.0,1,True
SGD,42,8,-1.0,-1.0,0.0612124502658844,-0.2086735963821411,9.32607650756836,10.0,20000,False
SGD,42,9,0.5,-0.5,0.028667114675045013,0.3404275178909302,3.51401686668396,10.0,20000,False
SGD_Momentum,42,0,-1.5,2.0,-1.1023856401443481,2.618011713027954,337.47479248046875,10.0,20000,False
SGD_Momentum,42,1,1.5,-2.0,-0.5217446088790894,0.30644649267196655,95.8613052368164,10.000000953674316,20000,False
SGD_Momentum,42,2,0.5,0.5,0.11530362069606781,0.20118677616119385,1.4176344871520996,9.999999046325684,20000,False
SGD_Momentum,42,3,-0.5,-0.5,1.1554648876190186,1.4206485748291016,217.53765869140625,9.999999046325684,20000,False
SGD_Momentum,42,4,2.0,-1.0,0.4081801772117615,-3.4404022693634033,1103.9395751953125,9.999999046325684,20000,False
SGD_Momentum,42,5,-2.0,1.0,-0.9602896571159363,-0.10622584819793701,36.43944549560547,10.0,20000,False
SGD_Momentum,42,6,0.0,0.0,1.0363948345184326,-0.9195483922958374,209.0802459716797,10.0,20000,False
SGD_Momentum,42,7,1.0,1.0,1.0,1.0,0.0,0.0,1,True
SGD_Momentum,42,8,-1.0,-1.0,-1.1613508462905884,1.0097047090530396,15.128637313842773,10.0,20000,False
SGD_Momentum,42,9,0.5,-0.5,-0.8469990491867065,-0.9469745755195618,413.83551025390625,10.0,20000,False
Adam,42,0,-1.5,2.0,0.990199089050293,0.9804644584655762,9.942597534973174e-05,0.010034444741904736,423,True
Adam,42,1,1.5,-2.0,0.990180253982544,0.980415403842926,9.858705016085878e-05,0.00899514090269804,558,True
Adam,42,2,0.5,0.5,0.9902381896972656,0.9805340766906738,9.824554581427947e-05,0.00897660106420517,359,True
Adam,42,3,-0.5,-0.5,0.9902086853981018,0.9804705381393433,9.836264507612213e-05,0.009002403356134892,450,True
Adam,42,4,2.0,-1.0,0.9901791214942932,0.9804185032844543,9.876355034066364e-05,0.009081868454813957,498,True
Adam,42,5,-2.0,1.0,0.9901706576347351,0.9804073572158813,9.952658729162067e-05,0.009904924780130386,491,True
Adam,42,6,0.0,0.0,0.9904043674468994,0.9808672070503235,9.722967661218718e-05,0.05709005147218704,244,True
Adam,42,7,1.0,1.0,1.0,1.0,0.0,0.0,1,True
