iteration,loss,grad_norm,optimizer,elapsed_seconds,test_acc
0,1.0,2.0,Adam_start6,0.0,0.5
1,0.903124988079071,1.9163768291473389,Adam_start6,0.001,0.5
2,0.8844238519668579,6.16526985168457,Adam_start6,0.002,0.5
3,0.7438306212425232,2.988445520401001,Adam_start6,0.003,0.5
4,0.790454626083374,7.6834397315979,Adam_start6,0.004,0.5
5,0.7090706825256348,6.658858299255371,Adam_start6,0.005,0.5
6,0.5961412191390991,2.5980329513549805,Adam_start6,0.006,0.5
7,0.5634174942970276,2.8027374744415283,Adam_start6,0.007,0.5
8,0.5527891516685486,4.799044132232666,Adam_start6,0.008,0.5
9,0.4920295774936676,3.502885103225708,Adam_start6,0.009,0.5
10,0.4361405670642853,1.2472975254058838,Adam_start6,0.01,0.5
11,0.4381743967533111,4.809540271759033,Adam_start6,0.011,0.5
12,0.4228973984718323,5.514361381530762,Adam_start6,0.012,0.5
13,0.3665966689586639,2.456420660018921,Adam_start6,0.013,0.5
14,0.347922682762146,2.2358973026275635,Adam_start6,0.014,0.5
15,0.3492613136768341,4.306139945983887,Adam_start6,0.015,0.5
16,0.3158935606479645,2.985757827758789,Adam_start6,0.016,0.5
17,0.2869837284088135,1.214165210723877,Adam_start6,0.017,0.5
18,0.2917141020298004,4.278281211853027,Adam_start6,0.018,0.5
19,0.2735954225063324,3.869783401489258,Adam_start6,0.019,0.5
20,0.2444689124822616,0.7398136854171753,Adam_start6,0.02,0.5
21,0.2448889017105102,3.1330759525299072,Adam_start6,0.021,0.5
22,0.2345141023397445,3.3042354583740234,Adam_start6,0.022,0.5
23,0.2105589061975479,0.6951502561569214,Adam_start6,0.023,0.5
24,0.2098274677991867,3.104112386703491,Adam_start6,0.024,0.5
25,0.2021984010934829,3.3683996200561523,Adam_start6,0.025,0.5
26,0.182453840970993,0.6484184861183167,Adam_start6,0.026,0.5
27,0.1821168512105941,2.6842458248138428,Adam_start6,0.027,0.5
28,0.1734348088502884,2.560411214828491,Adam_start6,0.028,0.5
