iteration,loss,grad_norm
0,909.0,10.000000953674316
1,766.3283081054688,10.000000953674316
2,638.4100952148438,10.0
3,524.5150146484375,10.0
4,423.92913818359375,10.0
5,335.95611572265625,10.000000953674316
6,259.91656494140625,10.0
7,195.1484375,9.999999046325684
8,141.0067596435547,10.0
9,96.86347961425781,10.0
10,62.107635498046875,10.000000953674316
11,36.14501953125,10.0
12,18.398229598999023,10.0
13,8.306267738342285,10.0
14,5.323617458343506,5.516768455505371
15,7.711856842041016,10.0
16,11.815435409545898,9.999999046325684
17,15.500753402709961,10.0
18,17.814380645751953,10.0
19,18.478666305541992,10.0
20,17.605152130126953,9.999999046325684
21,15.529600143432617,10.0
22,12.716773986816406,10.0
23,9.705449104309082,10.0
24,7.077085494995117,10.000000953674316
25,5.438592910766602,10.000000953674316
26,5.415854454040527,9.999999046325684
27,6.57841682434082,10.0
28,7.801803112030029,10.0
29,8.486274719238281,10.0
30,8.434871673583984,10.0
31,7.738690376281738,10.000000953674316
32,6.680637359619141,9.999999046325684
33,5.657830715179443,10.000000953674316
34,5.120063781738281,6.305238246917725
35,5.425692558288574,10.0
36,6.038322448730469,10.0
37,6.3978800773620605,10.0
38,6.32486629486084,10.000001907348633
39,5.892284870147705,10.0
40,5.343455791473389,9.999999046325684
41,5.039348602294922,1.746349573135376
42,5.2509765625,9.999999046325684
43,5.568356990814209,10.000000953674316
44,5.654365539550781,10.000000953674316
45,5.458917140960693,10.0
46,5.1358771324157715,9.999999046325684
47,4.9679274559021,1.9709771871566772
48,5.103451728820801,10.0
49,5.205704689025879,9.999999046325684
50,5.124546527862549,9.999999046325684
51,4.949697017669678,9.940718650817871
52,4.9360480308532715,9.999999046325684
53,5.044820308685303,9.999999046325684
54,5.036433696746826,10.0
55,4.908725261688232,9.999999046325684
56,4.826038360595703,2.52290940284729
57,4.88416862487793,9.999998092651367
58,4.876996040344238,9.999999046325684
59,4.783611297607422,6.640137195587158
60,4.760639190673828,7.853740692138672
61,4.787652015686035,9.999999046325684
62,4.740061283111572,9.999998092651367
63,4.673342704772949,1.8562151193618774
64,4.683347702026367,8.762786865234375
65,4.658010482788086,8.783856391906738
66,4.596820831298828,1.781261682510376
67,4.589753150939941,8.159391403198242
68,4.569717884063721,9.389860153198242
69,4.51386833190918,3.4942076206207275
70,4.492929458618164,4.654102325439453
71,4.473697185516357,6.662173271179199
72,4.424446105957031,2.7843897342681885
73,4.3942484855651855,4.520723342895508
74,4.374088764190674,7.212919235229492
75,4.330235004425049,4.6389923095703125
76,4.293100833892822,2.001263380050659
77,4.268916606903076,4.451268672943115
78,4.229902744293213,3.2920336723327637
79,4.189759731292725,2.2309844493865967
80,4.161712646484375,4.965591907501221
81,4.125890731811523,4.792786598205566
82,4.084036827087402,2.254795789718628
83,4.0508503913879395,2.470930337905884
84,4.016216278076172,2.9627585411071777
85,3.9750242233276367,1.8293523788452148
86,3.938436985015869,2.999739170074463
87,3.903836250305176,4.083998203277588
88,3.8634650707244873,3.1864030361175537
89,3.823582172393799,1.8557732105255127
90,3.786978006362915,2.1561946868896484
91,3.7475500106811523,2.048673152923584
92,3.7065491676330566,1.9521549940109253
93,3.6681623458862305,2.934509754180908
94,3.6290979385375977,3.2743844985961914
95,3.5873656272888184,2.56640887260437
96,3.5464048385620117,1.8935383558273315
97,3.506342887878418,1.910645604133606
98,3.4646871089935303,1.8736599683761597
99,3.4225683212280273,2.0955610275268555
100,3.3814568519592285,2.6696951389312744
101,3.339700937271118,2.8310375213623047
102,3.296572208404541,2.44085431098938
103,3.2535624504089355,2.0242247581481934
104,3.210829734802246,1.9218231439590454
105,3.1673524379730225,1.9451452493667603
106,3.123462200164795,2.1280903816223145
