iteration,loss,grad_norm,optimizer,elapsed_seconds,test_acc
89,117.7254867553711,10.0,SGD_Momentum_start3,0.089,0.5
90,98.36539459228516,10.0,SGD_Momentum_start3,0.09,0.5
91,107.1230926513672,10.0,SGD_Momentum_start3,0.091,0.5
92,167.61965942382812,9.999999046325684,SGD_Momentum_start3,0.092,0.5
93,30.710147857666016,10.0,SGD_Momentum_start3,0.093,0.5
94,9.939654350280762,10.0,SGD_Momentum_start3,0.094,0.5
95,666.2590942382812,10.0,SGD_Momentum_start3,0.095,0.5
96,785.0606079101562,10.000001907348633,SGD_Momentum_start3,0.096,0.5
97,37.81711196899414,9.999999046325684,SGD_Momentum_start3,0.097,0.5
98,794.0979614257812,10.0,SGD_Momentum_start3,0.098,0.5
99,1332.5938720703125,10.0,SGD_Momentum_start3,0.099,0.5
100,1015.5170288085938,10.0,SGD_Momentum_start3,0.1,0.5
101,133.1517333984375,10.0,SGD_Momentum_start3,0.101,0.5
102,1560.1844482421875,9.999999046325684,SGD_Momentum_start3,0.102,0.5
103,4626.60546875,10.0,SGD_Momentum_start3,0.103,0.5
104,3978.249267578125,10.0,SGD_Momentum_start3,0.104,0.5
105,953.80517578125,10.000000953674316,SGD_Momentum_start3,0.105,0.5
106,113.57340240478516,10.0,SGD_Momentum_start3,0.106,0.5
107,413.8662109375,10.0,SGD_Momentum_start3,0.107,0.5
108,252.9439392089844,10.0,SGD_Momentum_start3,0.108,0.5
109,14.35724925994873,10.0,SGD_Momentum_start3,0.109,0.5
110,31.85728073120117,10.0,SGD_Momentum_start3,0.11,0.5
111,50.01271438598633,10.0,SGD_Momentum_start3,0.111,0.5
112,15.897090911865234,9.999999046325684,SGD_Momentum_start3,0.112,0.5
113,182.0018768310547,9.999999046325684,SGD_Momentum_start3,0.113,0.5
114,210.30567932128903,10.000000953674316,SGD_Momentum_start3,0.114,0.5
115,12.778189659118652,10.0,SGD_Momentum_start3,0.115,0.5
116,39.38639450073242,10.0,SGD_Momentum_start3,0.116,0.5
117,33.02328109741211,10.0,SGD_Momentum_start3,0.117,0.5
118,201.6602325439453,10.0,SGD_Momentum_start3,0.118,0.5
119,93.44677734375,10.0,SGD_Momentum_start3,0.119,0.5
120,7.766626358032227,10.0,SGD_Momentum_start3,0.12,0.5
121,11.661786079406738,10.000000953674316,SGD_Momentum_start3,0.121,0.5
