iteration,loss,grad_norm,optimizer,elapsed_seconds,test_acc
87,0.559087872505188,2.608966112136841,SAM_Adam_start1,0.087,0.5
88,0.5370755791664124,2.0439956188201904,SAM_Adam_start1,0.088,0.5
89,0.5225545167922974,4.065049648284912,SAM_Adam_start1,0.089,0.5
90,0.5072778463363647,4.633209705352783,SAM_Adam_start1,0.09,0.5
91,0.4871333241462707,4.000175476074219,SAM_Adam_start1,0.091,0.5
92,0.4673212766647339,1.632563591003418,SAM_Adam_start1,0.092,0.5
93,0.4540663957595825,3.074906349182129,SAM_Adam_start1,0.093,0.5
94,0.4413792192935943,3.9225566387176514,SAM_Adam_start1,0.094,0.5
95,0.4244687855243683,2.97519850730896,SAM_Adam_start1,0.095,0.5
96,0.4093916714191437,1.9933055639266968,SAM_Adam_start1,0.096,0.5
97,0.3991060256958008,4.060773849487305,SAM_Adam_start1,0.097,0.5
98,0.3867036402225494,3.952396869659424,SAM_Adam_start1,0.098,0.5
99,0.3731919527053833,1.3297961950302124,SAM_Adam_start1,0.099,0.5
100,0.3640586733818054,3.3962607383728027,SAM_Adam_start1,0.1,0.5
101,0.3537165820598602,3.59781813621521,SAM_Adam_start1,0.101,0.5
102,0.3416149020195007,0.9183719754219056,SAM_Adam_start1,0.102,0.5
103,0.3333179056644439,3.8507721424102783,SAM_Adam_start1,0.103,0.5
104,0.323909193277359,3.654836177825928,SAM_Adam_start1,0.104,0.5
105,0.3144325315952301,1.4719669818878174,SAM_Adam_start1,0.105,0.5
106,0.3072380721569061,3.5398406982421875,SAM_Adam_start1,0.106,0.5
107,0.2979941070079803,1.523716688156128,SAM_Adam_start1,0.107,0.5
108,0.290867418050766,3.697275638580322,SAM_Adam_start1,0.108,0.5
109,0.2832122147083282,3.2916929721832275,SAM_Adam_start1,0.109,0.5
110,0.2762777507305145,2.832695960998535,SAM_Adam_start1,0.11,0.5
111,0.2696164548397064,3.179494380950928,SAM_Adam_start1,0.111,0.5
112,0.262544572353363,2.7697441577911377,SAM_Adam_start1,0.112,0.5
113,0.256380170583725,3.1991124153137207,SAM_Adam_start1,0.113,0.5
114,0.250420868396759,2.667611837387085,SAM_Adam_start1,0.114,0.5
115,0.2444496154785156,2.2631659507751465,SAM_Adam_start1,0.115,0.5
116,0.2389542311429977,3.5915849208831787,SAM_Adam_start1,0.116,0.5
117,0.2331809848546981,1.6795729398727417,SAM_Adam_start1,0.117,0.5
118,0.2287717759609222,3.8877439498901367,SAM_Adam_start1,0.118,0.5
119,0.2228703200817108,0.6642000675201416,SAM_Adam_start1,0.119,0.5
120,0.218468353152275,4.067970275878906,SAM_Adam_start1,0.12,0.5
121,0.2133989930152893,1.973992228507996,SAM_Adam_start1,0.121,0.5
122,0.2088655084371566,2.300497770309448,SAM_Adam_start1,0.122,0.5
123,0.204669564962387,4.055951118469238,SAM_Adam_start1,0.123,0.5
124,0.2000566571950912,1.395323395729065,SAM_Adam_start1,0.124,0.5
125,0.1960061192512512,2.3953378200531006,SAM_Adam_start1,0.125,0.5
126,0.192221000790596,4.219278335571289,SAM_Adam_start1,0.126,0.5
127,0.1880966126918792,2.536782741546631,SAM_Adam_start1,0.127,0.5
