iteration,loss,grad_norm,optimizer,elapsed_seconds,test_acc
95,8.757699966430664,10.0,SAM_SGD_start4,0.095,0.5
96,5.828591823577881,10.0,SAM_SGD_start4,0.096,0.5
97,8.757699966430664,10.0,SAM_SGD_start4,0.097,0.5
98,5.828591823577881,10.0,SAM_SGD_start4,0.098,0.5
99,8.757699966430664,10.0,SAM_SGD_start4,0.099,0.5
100,5.828591823577881,10.0,SAM_SGD_start4,0.1,0.5
101,8.757699966430664,10.0,SAM_SGD_start4,0.101,0.5
102,5.828591823577881,10.0,SAM_SGD_start4,0.102,0.5
103,8.757699966430664,10.0,SAM_SGD_start4,0.103,0.5
104,5.828591823577881,10.0,SAM_SGD_start4,0.104,0.5
105,8.757699966430664,10.0,SAM_SGD_start4,0.105,0.5
106,5.828591823577881,10.0,SAM_SGD_start4,0.106,0.5
107,8.757699966430664,10.0,SAM_SGD_start4,0.107,0.5
108,5.828591823577881,10.0,SAM_SGD_start4,0.108,0.5
109,8.757699966430664,10.0,SAM_SGD_start4,0.109,0.5
110,5.828591823577881,10.0,SAM_SGD_start4,0.11,0.5
111,8.757699966430664,10.0,SAM_SGD_start4,0.111,0.5
112,5.828591823577881,10.0,SAM_SGD_start4,0.112,0.5
113,8.757699966430664,10.0,SAM_SGD_start4,0.113,0.5
114,5.828591823577881,10.0,SAM_SGD_start4,0.114,0.5
115,8.757699966430664,10.0,SAM_SGD_start4,0.115,0.5
116,5.828591823577881,10.0,SAM_SGD_start4,0.116,0.5
117,8.757699966430664,10.0,SAM_SGD_start4,0.117,0.5
118,5.828591823577881,10.0,SAM_SGD_start4,0.118,0.5
119,8.757699966430664,10.0,SAM_SGD_start4,0.119,0.5
120,5.828591823577881,10.0,SAM_SGD_start4,0.12,0.5
121,8.757699966430664,10.0,SAM_SGD_start4,0.121,0.5
122,5.828591823577881,10.0,SAM_SGD_start4,0.122,0.5
123,8.757699966430664,10.0,SAM_SGD_start4,0.123,0.5
124,5.828591823577881,10.0,SAM_SGD_start4,0.124,0.5
125,8.757699966430664,10.0,SAM_SGD_start4,0.125,0.5
126,5.828591823577881,10.0,SAM_SGD_start4,0.126,0.5
127,8.757699966430664,10.0,SAM_SGD_start4,0.127,0.5
128,5.828591823577881,10.0,SAM_SGD_start4,0.128,0.5
129,8.757699966430664,10.0,SAM_SGD_start4,0.129,0.5
130,5.828591823577881,10.0,SAM_SGD_start4,0.13,0.5
131,8.757699966430664,10.0,SAM_SGD_start4,0.131,0.5
132,5.828591823577881,10.0,SAM_SGD_start4,0.132,0.5
133,8.757699966430664,10.0,SAM_SGD_start4,0.133,0.5
134,5.828591823577881,10.0,SAM_SGD_start4,0.134,0.5
135,8.757699966430664,10.0,SAM_SGD_start4,0.135,0.5
136,5.828591823577881,10.0,SAM_SGD_start4,0.136,0.5
137,8.757699966430664,10.0,SAM_SGD_start4,0.137,0.5
138,5.828591823577881,10.0,SAM_SGD_start4,0.138,0.5
139,8.757699966430664,10.0,SAM_SGD_start4,0.139,0.5
140,5.828591823577881,10.0,SAM_SGD_start4,0.14,0.5
141,8.757699966430664,10.0,SAM_SGD_start4,0.141,0.5
142,5.828591823577881,10.0,SAM_SGD_start4,0.142,0.5
143,8.757699966430664,10.0,SAM_SGD_start4,0.143,0.5
144,5.828591823577881,10.0,SAM_SGD_start4,0.144,0.5
145,8.757699966430664,10.0,SAM_SGD_start4,0.145,0.5
146,5.828591823577881,10.0,SAM_SGD_start4,0.146,0.5
147,8.757699966430664,10.0,SAM_SGD_start4,0.147,0.5
148,5.828591823577881,10.0,SAM_SGD_start4,0.148,0.5
149,8.757699966430664,10.0,SAM_SGD_start4,0.149,0.5
150,5.828591823577881,10.0,SAM_SGD_start4,0.15,0.5
151,8.757699966430664,10.0,SAM_SGD_start4,0.151,0.5
152,5.828591823577881,10.0,SAM_SGD_start4,0.152,0.5
153,8.757699966430664,10.0,SAM_SGD_start4,0.153,0.5
154,5.828591823577881,10.0,SAM_SGD_start4,0.154,0.5
155,8.757699966430664,10.0,SAM_SGD_start4,0.155,0.5
156,5.828591823577881,10.0,SAM_SGD_start4,0.156,0.5
157,8.757699966430664,10.0,SAM_SGD_start4,0.157,0.5
158,5.828591823577881,10.0,SAM_SGD_start4,0.158,0.5
159,8.757699966430664,10.0,SAM_SGD_start4,0.159,0.5
160,5.828591823577881,10.0,SAM_SGD_start4,0.16,0.5
161,8.757699966430664,10.0,SAM_SGD_start4,0.161,0.5
162,5.828591823577881,10.0,SAM_SGD_start4,0.162,0.5
163,8.757699966430664,10.0,SAM_SGD_start4,0.163,0.5
164,5.828591823577881,10.0,SAM_SGD_start4,0.164,0.5
165,8.757699966430664,10.0,SAM_SGD_start4,0.165,0.5
166,5.828591823577881,10.0,SAM_SGD_start4,0.166,0.5
167,8.757699966430664,10.0,SAM_SGD_start4,0.167,0.5
168,5.828591823577881,10.0,SAM_SGD_start4,0.168,0.5
169,8.757699966430664,10.0,SAM_SGD_start4,0.169,0.5
170,5.828591823577881,10.0,SAM_SGD_start4,0.17,0.5
171,8.757699966430664,10.0,SAM_SGD_start4,0.171,0.5
