optimizer,seed,train_loss,train_acc,final_test_loss,final_test_acc,training_time,epochs_completed,effective_batch_size,tainted,test_acc
SGD,42,1.6633768968672549,61.598333333333336,1.4468926734562162,73.77,22.925525903701782,2,128,False,73.77
SGD,123,1.7082160417502525,60.32833333333333,1.4932183283793776,72.86,22.893977880477905,2,128,False,72.86
SGD,456,1.6480504006006143,64.69,1.4275611488124993,77.25,22.661286115646362,2,128,False,77.25
SGD_Momentum,42,0.39847711099408817,80.24833333333333,0.33474114763585827,90.64,23.161139249801636,2,128,False,90.64
SGD_Momentum,123,0.39817475418061443,80.16666666666667,0.3338992320284059,90.41,22.808300971984863,2,128,False,90.41
SGD_Momentum,456,0.3977734836710008,80.195,0.33495037842400466,90.73,22.707931995391846,2,128,False,90.73
Adam,42,0.5861606527278773,77.78666666666666,0.5611451601114454,87.76,23.440847635269165,2,128,False,87.76
Adam,123,0.5608192505005977,78.06333333333333,0.5536615840524812,86.82,24.039345264434814,2,128,False,86.82
Adam,456,0.5853388933420747,77.77166666666666,0.6002313894561574,88.56,23.796475887298584,2,128,False,88.56
AdamW,42,0.11046015969543801,87.045,0.09335190715427405,97.17,24.438676595687866,2,128,False,97.17
AdamW,123,0.10768748077418284,87.105,0.09248668137536961,97.2,22.264150142669678,2,128,False,97.2
AdamW,456,0.1107841936112227,86.99166666666666,0.09568440657598261,97.08,21.51794719696045,2,128,False,97.08
AMSGrad,42,0.1105453828129017,87.02666666666667,0.09294661112082532,97.15,22.15266442298889,2,128,False,97.15
AMSGrad,123,0.10740003348173688,87.11,0.09469103931649765,97.13,21.454105615615845,2,128,False,97.13
AMSGrad,456,0.11049744558313164,87.03,0.09487326478267301,97.1,23.720375537872314,2,128,False,97.1
SAM_SGD,42,1.3138316971430846,67.54833333333333,1.0604193791558472,79.8,24.47222065925598,2,128,False,79.8
SAM_SGD,123,1.3664862957045931,67.05166666666666,1.1013123370424103,79.43,24.53479242324829,2,128,False,79.43
SAM_SGD,456,1.3166428722476506,69.67,1.053185077407692,81.89,24.82804226875305,2,128,False,81.89
SAM_Adam,42,0.5461366793131941,79.93666666666667,0.4111428751221186,90.45,25.69501566886902,2,128,False,90.45
SAM_Adam,123,0.49478153390059537,80.05166666666666,0.4764022601273241,86.77,26.374727487564087,2,128,False,86.77
SAM_Adam,456,0.6369065385294187,77.775,0.5612568231888965,87.4,25.94507646560669,2,128,False,87.4
Lookahead_SGD,42,0.5714996500179101,77.62666666666667,0.44439675347714486,88.56,22.61176109313965,2,128,False,88.56
Lookahead_SGD,123,0.575046894957104,77.71,0.44195137012608443,88.72,22.876545429229736,2,128,False,88.72
Lookahead_SGD,456,0.5621046488883936,78.045,0.4386576169842406,88.91,23.10727095603943,2,128,False,88.91
Lookahead_Adam,42,0.14412860168912117,86.25166666666667,0.11991798191013027,96.43,24.646967887878418,2,128,False,96.43
Lookahead_Adam,123,0.13953049546240065,86.35666666666667,0.11799429413049092,96.54,21.88131809234619,2,128,False,96.54
Lookahead_Adam,456,0.14508675072359814,86.195,0.11616468653849125,96.49,23.84902262687683,2,128,False,96.49
AdaBound,42,0.29304368402014414,82.47,0.2673033983977158,92.32,27.602104425430298,2,128,False,92.32
AdaBound,123,0.2896789303534969,82.535,0.25990524502541823,92.34,32.90202975273132,2,128,False,92.34
AdaBound,456,0.29579341413356114,82.24333333333334,0.26746368747723254,92.35,30.578044652938843,2,128,False,92.35
RAdam,42,0.24982994281735396,85.265,0.27199416806602245,95.32,29.13179349899292,2,128,False,95.32
RAdam,123,0.25065162925764706,85.31833333333333,0.1876559031160572,94.92,27.434760570526123,2,128,False,94.92
RAdam,456,0.24454426842022212,85.35833333333333,0.30165265904077937,95.1,28.149549961090088,2,128,False,95.1
LAMB,42,0.5432498985415951,78.245,0.42547330911023706,89.16,28.76778221130371,2,128,False,89.16
LAMB,123,0.5521983973222886,78.14666666666666,0.42440245159064666,89.11,29.174036741256714,2,128,False,89.11
LAMB,456,0.5382098127597881,78.49666666666667,0.4205400792858269,89.41,28.328319311141968,2,128,False,89.41
