iteration,loss,grad_norm
0,1.035709023475647,2.053147315979004
1,0.8869947791099548,1.8995075225830078
2,0.7562659978866577,1.7540878057479858
3,0.6426811218261719,1.617213249206543
4,0.544604480266571,1.4887325763702393
5,0.4604303240776062,1.36858069896698
6,0.38891178369522095,1.2572518587112427
7,0.32881709933280945,1.1552886962890625
8,0.27868497371673584,1.0627268552780151
9,0.23688749969005585,0.9789335131645203
10,0.2019093632698059,0.9029715657234192
11,0.1725350171327591,0.8340182304382324
12,0.14783158898353577,0.7714619040489197
13,0.1270500123500824,0.7147977948188782
14,0.10955941677093506,0.663541853427887
15,0.0948532372713089,0.6172974705696106
16,0.08254651725292206,0.575823187828064
17,0.07232212275266647,0.5389451384544373
18,0.06387563049793243,0.506402850151062
19,0.05689351633191109,0.4777578115463257
20,0.05107222497463226,0.4524347484111786
21,0.046152252703905106,0.4298512637615204
22,0.041933104395866394,0.40950095653533936
23,0.0382629819214344,0.3909476101398468
24,0.035021889954805374,0.3737867772579193
25,0.03211556375026703,0.3576624095439911
26,0.029483074322342873,0.3423556089401245
27,0.027099061757326126,0.3278471827507019
28,0.024958403781056404,0.3142588138580322
29,0.023050736635923386,0.3016921281814575
30,0.021344704553484917,0.29009100794792175
31,0.01979236491024494,0.2792309820652008
32,0.018344474956393242,0.26880860328674316
33,0.016961295157670975,0.258530855178833
34,0.015614373609423637,0.24814891815185547
35,0.014284910634160042,0.2374618947505951
36,0.012964071705937386,0.22633057832717896
37,0.011654355563223362,0.21469898521900177
38,0.010369502939283848,0.20261181890964508
39,0.00913273822516203,0.19022493064403534
40,0.007972574792802334,0.17779982089996338
41,0.006915955804288387,0.16566185653209686
42,0.005980962887406349,0.1541232019662857
43,0.0051724109798669815,0.14340072870254517
44,0.0044820900075137615,0.13356608152389526
45,0.0038928433787077665,0.1245490089058876
46,0.0033848087769001722,0.11619628965854645
47,0.0029413774609565735,0.10835972428321838
48,0.002552012912929058,0.10096041113138199
49,0.0022110221907496452,0.09399110823869705
50,0.0019144555553793907,0.08747227489948273
51,0.0016583498800173402,0.08141704648733139
52,0.0014393436722457409,0.07584449648857117
53,0.001256024232134223,0.0708242878317833
54,0.0011086558224633336,0.0664902999997139
55,0.000996919465251267,0.06298141926527023
56,0.0009176977910101414,0.060348451137542725
57,0.0008647547801956534,0.058507040143013
58,0.0008298543398268521,0.05725689232349396
59,0.0008041349938139319,0.05633363872766495
60,0.0007799104205332696,0.05548342689871788
61,0.0007526927511207759,0.054543592035770416
62,0.0007214905344881117,0.05346139520406723
63,0.0006868455675430596,0.052230823785066605
64,0.0006492039537988603,0.05083887279033661
65,0.0006093048141337931,0.0492868609726429
66,0.0005686907679773867,0.04761863499879837
67,0.0005287044914439321,0.04588494077324867
68,0.0004895094898529351,0.04409752041101456
69,0.0004507090197876096,0.042245641350746155
70,0.00041247604531235993,0.04034242406487465
71,0.0003756950609385967,0.038434937596321106
72,0.00034133720328100026,0.036578696221113205
73,0.0003099282621406019,0.03481138497591019
74,0.00028142560040578246,0.03314196318387985
75,0.00025543637457303703,0.03155738487839699
76,0.00023151662026066333,0.030037621036171913
77,0.0002092638605972752,0.028561919927597046
78,0.00018828161410056055,0.0271063894033432
79,0.00016822236648295075,0.025645559653639793
80,0.00014886689314153045,0.024157781153917313
81,0.00013018750178162009,0.022631725296378136
82,0.00011242413893342018,0.021077129989862442
83,9.605321974959224e-05,0.01953049935400486
84,8.155414980137721e-05,0.01804245449602604
85,6.917254358995706e-05,0.016656551510095596
86,5.887587394681759e-05,0.015397786162793636
87,5.044660792918876e-05,0.01427322719246149
88,4.360624006949365e-05,0.013280179351568222
89,3.810565613093786e-05,0.012415575794875622
90,3.3722568332450464e-05,0.011674457229673862
91,3.020677286258433e-05,0.011039202101528645
92,2.7291134756524116e-05,0.010479474440217018
93,2.4772476535872556e-05,0.009967970661818981
94,2.2553778762812726e-05,0.009492885321378708
95,2.0603085431503132e-05,0.009054378606379032
96,1.889715167635586e-05,0.008654776029288769
97,1.7411390217603184e-05,0.008295848034322262
98,1.6127074559335597e-05,0.007979359477758408
99,1.5017513760540169e-05,0.007702413480728865
100,1.4037813343747985e-05,0.007454120088368654
101,1.3135968401911668e-05,0.007219281047582626
102,1.2259718459972646e-05,0.006981764454394579
103,1.1362222721800208e-05,0.006726477295160294
104,1.042171243170742e-05,0.006444745231419802
105,9.450757715967484e-06,0.0061377668753266335
106,8.48404124553781e-06,0.00581434415653348
107,7.5651391853170935e-06,0.005488122347742319
108,6.734947874065256e-06,0.00517490366473794
109,6.019299689796753e-06,0.004888360388576984
110,5.426501047622878e-06,0.004637700971215963
111,4.951168648403836e-06,0.004427230451256037
112,4.574822469294304e-06,0.004254796542227268
113,4.267841632099589e-06,0.004111101385205984
114,3.997271505795652e-06,0.003982586320489645
115,3.7375816646090243e-06,0.0038570116739720106
116,3.4751083148876205e-06,0.003726429771631956
117,3.2018460842664354e-06,0.003584381192922592
118,2.9135817385395057e-06,0.003425218863412738
119,2.6170696401095483e-06,0.003249445464462042
120,2.3277129912457895e-06,0.003064582822844386
121,2.058330892396043e-06,0.0028794289100915194
122,1.8162132846555323e-06,0.0027012641075998545
123,1.604967906132515e-06,0.0025356323458254337
124,1.423621711182932e-06,0.0023846477270126343
125,1.2677166978392052e-06,0.002247169381007552
126,1.1313036338833626e-06,0.002120040589943528
127,1.0076056469188188e-06,0.001998375402763486
128,8.915320677260752e-07,0.0018779506208375096
