optimizer,seed,train_loss,train_acc,test_loss,test_acc,training_time,epochs_completed
SGD,42,0.32577001463883976,90.59166666666667,0.28632928542792796,91.54,34.34005546569824,3
SGD,123,0.31785304390036984,90.79833333333333,0.28648530640639364,91.84,34.31360149383545,3
SGD,456,0.3194349100594836,90.77333333333333,0.28211017707362773,91.77,34.275758266448975,3
SGD_Momentum,42,0.058766331571315146,98.17333333333333,0.08342919514398091,97.58,34.70463466644287,3
SGD_Momentum,123,0.05788273709728869,98.16,0.0763970957006677,97.61,34.39213848114014,3
SGD_Momentum,456,0.057549257731950805,98.155,0.08173686444642954,97.56,34.69904136657715,3
Adam,42,0.06873013381200876,97.84666666666666,0.07567961087916046,97.53,35.11143112182617,3
Adam,123,0.06808351784317034,97.86166666666666,0.08924119488801807,97.2,35.03244662284851,3
Adam,456,0.06806303358781757,97.85833333333333,0.06960487269680016,97.83,35.15121603012085,3
AdamW,42,0.06860139963628133,97.83166666666666,0.07625208967365324,97.52,35.11309313774109,3
AdamW,123,0.06716452324107638,97.915,0.08915131216053851,97.17,35.52852773666382,3
AdamW,456,0.06845086765711877,97.825,0.07096505709341727,97.9,35.14734482765198,3
AMSGrad,42,0.06867450375411747,97.90166666666667,0.07696830508066341,97.45,35.32987356185913,3
AMSGrad,123,0.06759276528801046,97.88666666666667,0.08646028465009295,97.16,35.473905086517334,3
AMSGrad,456,0.06785889083980275,97.88333333333334,0.0741301872767508,97.66,35.334221839904785,3
