rho,seed,final_loss,final_train_loss,final_test_loss,final_test_accuracy,best_test_accuracy,test_acc,epochs_trained,optimizer
0.01,42,0.3808918814341227,0.3808918814341227,0.3397593933105469,90.53,90.53,90.53,3,SAM
0.02,42,0.380743853521347,0.380743853521347,0.3400853880882263,90.54,90.54,90.54,3,SAM
0.05,42,0.3800438866774241,0.3800438866774241,0.3390044759750366,90.48,90.48,90.48,3,SAM
0.1,42,0.3807644024531046,0.3807644024531046,0.3393920232772827,90.58,90.58,90.58,3,SAM
0.2,42,0.3881074553966522,0.3881074553966522,0.3435610038757324,90.61,90.61,90.61,3,SAM
0.01,123,0.3785334958553314,0.3785334958553314,0.3383972848892212,90.44,90.44,90.44,3,SAM
0.02,123,0.3783438931306203,0.3783438931306203,0.3388873098373413,90.66,90.66,90.66,3,SAM
0.05,123,0.3780648007074992,0.3780648007074992,0.3375797820091247,90.72,90.72,90.72,3,SAM
0.1,123,0.378410201994578,0.378410201994578,0.3369711010932922,90.76,90.76,90.76,3,SAM
0.2,123,0.3854480758984883,0.3854480758984883,0.3420808650016784,90.62,90.62,90.62,3,SAM
0.01,456,0.3816608027935028,0.3816608027935028,0.340140786075592,90.5,90.5,90.5,3,SAM
0.02,456,0.381203164434433,0.381203164434433,0.3393238605499267,90.52,90.52,90.52,3,SAM
0.05,456,0.3809863151073456,0.3809863151073456,0.3388717476844787,90.65,90.65,90.65,3,SAM
0.1,456,0.3812086005528768,0.3812086005528768,0.3393039945602417,90.72,90.72,90.72,3,SAM
0.2,456,0.3887839142004649,0.3887839142004649,0.3443614393234253,90.5,90.5,90.5,3,SAM
0.01,789,0.3785987200021743,0.3785987200021743,0.3396985673904419,90.71,90.71,90.71,3,SAM
0.02,789,0.3782659236431122,0.3782659236431122,0.3405612851142883,90.66,90.66,90.66,3,SAM
0.05,789,0.3776702311992645,0.3776702311992645,0.3382551119804382,90.83,90.83,90.83,3,SAM
0.1,789,0.3779935301144917,0.3779935301144917,0.3373417401313782,90.83,90.83,90.83,3,SAM
0.2,789,0.3854698705037435,0.3854698705037435,0.3430702659606933,90.72,90.72,90.72,3,SAM
0.01,1011,0.382664583714803,0.382664583714803,0.3450494067192077,90.53,90.53,90.53,3,SAM
0.02,1011,0.3825469215552012,0.3825469215552012,0.3435452647209167,90.55,90.55,90.55,3,SAM
0.05,1011,0.3826032424926758,0.3826032424926758,0.3436114789962768,90.53,90.53,90.53,3,SAM
0.1,1011,0.3829539754231771,0.3829539754231771,0.343634612083435,90.65,90.65,90.65,3,SAM
0.2,1011,0.3916081834952036,0.3916081834952036,0.3479582207679748,90.6,90.6,90.6,3,SAM
0.01,1213,0.379291668732961,0.379291668732961,0.3390851076126098,90.59,90.59,90.59,3,SAM
0.02,1213,0.3792499141852061,0.3792499141852061,0.3385809663772583,90.65,90.65,90.65,3,SAM
0.05,1213,0.3790621590614318,0.3790621590614318,0.3378166844367981,90.57,90.57,90.57,3,SAM
0.1,1213,0.3793796792348226,0.3793796792348226,0.3378381271362304,90.72,90.72,90.72,3,SAM
0.2,1213,0.3868539309342702,0.3868539309342702,0.3417202435493469,90.87,90.87,90.87,3,SAM
0.01,1415,0.3800564378420512,0.3800564378420512,0.3406842776298523,90.46,90.46,90.46,3,SAM
0.02,1415,0.3797123836994171,0.3797123836994171,0.3412488309860229,90.43,90.43,90.43,3,SAM
0.05,1415,0.3793797121842702,0.3793797121842702,0.3403410557746887,90.58,90.58,90.58,3,SAM
0.1,1415,0.379573264503479,0.379573264503479,0.3404657797813415,90.63,90.63,90.63,3,SAM
0.2,1415,0.3863165513515472,0.3863165513515472,0.3454013096809387,90.65,90.65,90.65,3,SAM
0.01,1617,0.3783292642752329,0.3783292642752329,0.3370063716888428,90.55,90.55,90.55,3,SAM
0.02,1617,0.3779847201824188,0.3779847201824188,0.3373184975624084,90.6,90.6,90.6,3,SAM
0.05,1617,0.3778483046690623,0.3778483046690623,0.3364453378677368,90.57,90.57,90.57,3,SAM
0.1,1617,0.3776747589111328,0.3776747589111328,0.3358705791473388,90.62,90.62,90.62,3,SAM
0.2,1617,0.3858121606667836,0.3858121606667836,0.3427095142364502,90.61,90.61,90.61,3,SAM
0.01,1819,0.382110280418396,0.382110280418396,0.3409138385772705,90.4,90.4,90.4,3,SAM
0.02,1819,0.3817564126491546,0.3817564126491546,0.3408513653755188,90.53,90.53,90.53,3,SAM
0.05,1819,0.3815060999075572,0.3815060999075572,0.3408191051483154,90.63,90.63,90.63,3,SAM
0.1,1819,0.3815118982791901,0.3815118982791901,0.3396324515342712,90.82,90.82,90.82,3,SAM
0.2,1819,0.3891417792797089,0.3891417792797089,0.343161291885376,90.67,90.67,90.67,3,SAM
0.01,2021,0.3814066406726837,0.3814066406726837,0.3382263313293457,90.6,90.6,90.6,3,SAM
0.02,2021,0.3808826731681823,0.3808826731681823,0.3386710856437683,90.6,90.6,90.6,3,SAM
0.05,2021,0.3805922309716542,0.3805922309716542,0.3386373078346252,90.78,90.78,90.78,3,SAM
0.1,2021,0.3806423816204071,0.3806423816204071,0.3369658721923828,90.63,90.63,90.63,3,SAM
0.2,2021,0.3886623564243316,0.3886623564243316,0.3425842025756836,90.74,90.74,90.74,3,SAM
