epoch,train_loss,train_acc,val_loss,val_acc
1,0.18074227083094516,97.27777777777777,9.778943681989663e-05,100.0
2,6.67648952609549e-05,100.0,5.934871712400179e-05,100.0
3,5.2563892702956016e-05,100.0,4.982058089808561e-05,100.0
4,4.406057939233602e-05,100.0,4.172277684639474e-05,100.0
5,3.697266896651535e-05,100.0,3.511706953369347e-05,100.0
6,3.1539577417118525e-05,100.0,2.850068605247153e-05,100.0
7,2.6863449053499816e-05,100.0,2.442321108121957e-05,100.0
8,2.310944342242325e-05,100.0,2.1116831963549236e-05,100.0
9,2.0221236984964396e-05,100.0,1.8473530872142874e-05,100.0
10,1.7590323981845325e-05,100.0,1.6288422817264552e-05,100.0
11,1.5627001646447625e-05,100.0,1.4509360750837783e-05,100.0
12,1.3936663124600033e-05,100.0,1.302565319097734e-05,100.0
13,1.2557607094589784e-05,100.0,1.1770779175484286e-05,100.0
14,1.1376640255197376e-05,100.0,1.0703762719848392e-05,100.0
15,1.03544194771849e-05,100.0,9.785222833410703e-06,100.0
