iteration,loss,grad_norm,update_magnitude,param_distance,learning_rate,normalized_speed
0,2.275750637054444,1.700245696974824,0.0017002456969748,0.0,0.001,0.0
1,2.05611515045166,1.7795545201362195,0.0017795545201362,0.0,0.001,0.0
2,1.9006402492523196,1.9032689155332227,0.0019032689155332,0.0,0.001,0.0
3,1.639270901679993,2.160133214475393,0.0021601332144753,0.0,0.001,0.0
4,1.5082333087921145,1.7563136614544657,0.0017563136614544,0.0,0.001,0.0
5,1.2668119668960571,1.5067586429723097,0.0015067586429723,0.0,0.001,0.0
6,1.221011757850647,1.7632026944468482,0.0017632026944468,0.0,0.001,0.0
7,1.0485095977783203,1.7769048551050186,0.001776904855105,0.0,0.001,0.0
8,1.0031474828720093,1.4155766259031255,0.0014155766259031,0.0,0.001,0.0
9,1.006325602531433,2.0829325334170776,0.002082932533417,0.0,0.001,0.0
10,0.8093386292457581,1.340507670283288,0.0013405076702832,0.0,0.001,0.0
11,0.7325755953788757,1.7154745644677054,0.0017154745644677,0.0,0.001,0.0
12,0.7320276498794556,1.3639213288420584,0.001363921328842,0.0,0.001,0.0
13,0.652737021446228,1.2314759966030662,0.001231475996603,0.0,0.001,0.0
14,0.6720978617668152,2.144916817028664,0.0021449168170286,0.0,0.001,0.0
15,0.6019392013549805,1.6162519610306452,0.0016162519610306,0.0,0.001,0.0
16,0.6992167234420776,1.3115313012781462,0.0013115313012781,0.0,0.001,0.0
17,0.6517232060432434,1.8963671605575128,0.0018963671605575,0.0,0.001,0.0
18,0.5379215478897095,1.5089264470280763,0.001508926447028,0.0,0.001,0.0
19,0.5046834349632263,1.5948546363741831,0.0015948546363741,0.0,0.001,0.0
20,0.5542750954627991,1.6686417627433288,0.0016686417627433,0.0,0.001,0.0
21,0.3807324469089508,1.1774355275596762,0.0011774355275596,0.0,0.001,0.0
22,0.5608160495758057,1.2100630681445894,0.0012100630681445,0.0,0.001,0.0
23,0.4658724963665008,1.909125630855577,0.0019091256308555,0.0,0.001,0.0
24,0.5098814368247986,2.0419095950132804,0.0020419095950132,0.0,0.001,0.0
25,0.4627010226249695,2.383675392059866,0.0023836753920598,0.0,0.001,0.0
26,0.5396950244903564,2.330547445541849,0.0023305474455418,0.0,0.001,0.0
27,0.4367697536945343,1.5420998737444829,0.0015420998737444,0.0,0.001,0.0
28,0.4020605981349945,1.2999143542308094,0.0012999143542308,0.0,0.001,0.0
