optimizer,seed,train_loss,train_acc,test_loss,test_acc,training_time,epochs_completed
SGD,42,0.4239987379579402,88.41,0.3475676619447768,90.01,14.003610610961914,2
SGD,123,0.41750379627955747,88.75333333333333,0.34081295067444445,90.19,14.051987886428833,2
SGD,456,0.41712128925425157,88.72166666666666,0.33951955577358606,90.17,14.19035291671753,2
Adam,42,0.09778564378047294,96.93,0.0861474147764966,97.18,14.429601907730103,2
Adam,123,0.09939346475792783,96.91666666666667,0.09958233769284561,96.59,14.850093603134155,2
Adam,456,0.0967671477726337,97.065,0.08758033777412493,97.45,14.453315496444702,2
SAM_SGD,42,0.42024737723600636,89.04166666666667,0.3317386915907264,90.26,14.58116888999939,2
SAM_SGD,123,0.41136453445278,89.36,0.32918714070692656,90.63,14.331430196762085,2
SAM_SGD,456,0.41358341603899307,89.32,0.32718953480944035,90.26,14.190350532531738,2
