optimizer,seed,final_train_loss,final_test_accuracy,best_test_accuracy
SGD,42,0.43696001996994016,0.8721,0.8721
SAM,42,0.17172716766198476,0.9563,0.9563
SGD,43,0.56881574716568,0.8523,0.8523
SAM,43,0.15597523317337036,0.9564,0.9564
SGD,44,0.49479082962671916,0.8563,0.8563
SAM,44,0.16204528822898864,0.9521,0.9521
