iteration,loss,grad_norm,update_magnitude,param_distance,learning_rate,normalized_speed
0,2.325357675552368,1.758157253498353,0.0017581572534983,0.0,0.001,0.0
1,2.07310152053833,1.7420694387677456,0.0017420694387677,0.0,0.001,0.0
2,1.8600698709487915,1.6474058901457596,0.0016474058901457,0.0,0.001,0.0
3,1.615878701210022,1.5738077828921864,0.0015738077828921,0.0,0.001,0.0
4,1.5440475940704346,1.537909681718304,0.0015379096817183,0.0,0.001,0.0
5,1.221747875213623,1.4912143880492257,0.0014912143880492,0.0,0.001,0.0
6,1.194268822669983,1.6459400992468962,0.0016459400992468,0.0,0.001,0.0
7,1.127678155899048,1.5947412881839205,0.0015947412881839,0.0,0.001,0.0
8,0.9669703841209412,1.4140964999371255,0.0014140964999371,0.0,0.001,0.0
9,0.750902533531189,1.407506679095241,0.0014075066790952,0.0,0.001,0.0
10,0.8086350560188293,1.7682502786826384,0.0017682502786826,0.0,0.001,0.0
11,0.7437689304351807,1.4298670354224867,0.0014298670354224,0.0,0.001,0.0
12,0.7762532830238342,1.6626118563364798,0.0016626118563364,0.0,0.001,0.0
13,0.6859050393104553,1.3009594489495244,0.0013009594489495,0.0,0.001,0.0
14,0.6384558081626892,2.3701175406404227,0.0023701175406404,0.0,0.001,0.0
15,0.6163436770439148,1.8215741215366448,0.0018215741215366,0.0,0.001,0.0
16,0.5043879151344299,1.0264604557619696,0.0010264604557619,0.0,0.001,0.0
17,0.4925431311130523,2.076605960110763,0.0020766059601107,0.0,0.001,0.0
18,0.5925137400627136,1.355096616887269,0.0013550966168872,0.0,0.001,0.0
19,0.5079067945480347,1.9095463874743448,0.0019095463874743,0.0,0.001,0.0
20,0.4998358190059662,1.8301823010379732,0.0018301823010379,0.0,0.001,0.0
21,0.3831386864185333,1.5134302376669964,0.0015134302376669,0.0,0.001,0.0
22,0.4414931237697601,1.255315775679415,0.0012553157756794,0.0,0.001,0.0
23,0.4969960451126098,1.6719291779279624,0.0016719291779279,0.0,0.001,0.0
24,0.6084535717964172,2.0314334708409616,0.0020314334708409,0.0,0.001,0.0
25,0.4847488105297088,1.5536414437394472,0.0015536414437394,0.0,0.001,0.0
26,0.5092763900756836,2.207943764800585,0.0022079437648005,0.0,0.001,0.0
27,0.5163910984992981,2.0098835395295738,0.0020098835395295,0.0,0.001,0.0
28,0.5005394220352173,1.856445016130262,0.0018564450161302,0.0,0.001,0.0
29,0.3894432187080383,1.8422251428739929,0.0018422251428739,0.0,0.001,0.0
30,0.4360486268997192,1.933894898819576,0.0019338948988195,0.0,0.001,0.0
31,0.3753263652324676,1.6718741022212509,0.0016718741022212,0.0,0.001,0.0
32,0.5133735537528992,1.7393072479494909,0.0017393072479494,0.0,0.001,0.0
33,0.5138950943946838,2.033214068385957,0.0020332140683859,0.0,0.001,0.0
34,0.307020366191864,1.4744185057124044,0.0014744185057124,0.0,0.001,0.0
35,0.3761835098266601,1.0944945329771922,0.0010944945329771,0.0,0.001,0.0
36,0.4036864638328552,1.4726468468999077,0.0014726468468999,0.0,0.001,0.0
37,0.6106171011924744,1.9051413197421827,0.0019051413197421,0.0,0.001,0.0
38,0.4443696737289428,1.452440293767918,0.0014524402937679,0.0,0.001,0.0
39,0.3832315802574157,1.3629702806543305,0.0013629702806543,0.0,0.001,0.0
40,0.3209109902381897,1.4418711304336798,0.0014418711304336,0.0,0.001,0.0
41,0.3592599630355835,1.5888249100209395,0.0015888249100209,0.0,0.001,0.0
42,0.4661096334457397,1.4901212477058028,0.0014901212477058,0.0,0.001,0.0
43,0.3504998385906219,1.6165506568196095,0.0016165506568196,0.0,0.001,0.0
44,0.2740817070007324,1.7846708181772508,0.0017846708181772,0.0,0.001,0.0
45,0.2671773433685303,0.8923699580603222,0.0008923699580603,0.0,0.001,0.0
46,0.3604272603988647,1.6717429778046378,0.0016717429778046,0.0,0.001,0.0
47,0.3948022425174713,2.1942572487403846,0.0021942572487403,0.0,0.001,0.0
48,0.2491848915815353,1.167356992108156,0.0011673569921081,0.0,0.001,0.0
49,0.3765116035938263,1.1227540556571296,0.0011227540556571,0.0,0.001,0.0
50,0.3488318026065826,1.4875626827268102,0.0014875626827268,0.0,0.001,0.0
51,0.345750629901886,1.348717551729799,0.0013487175517297,0.0,0.001,0.0
52,0.3164295256137848,1.5111559091116342,0.0015111559091116,0.0,0.001,0.0
