optimizer,seed,initial_x,initial_y,final_loss,final_grad_norm,final_x,final_y,iterations,converged,converged_strict,converged_practical,strict_convergence_threshold,practical_convergence_threshold,error,run_status,converged_epoch,converged_iteration
SGD,42,-0.3545447901553613,2.377043034636138,4.136069297790527,1.414653182029724,-1.0315526723861694,1.072073459625244,1000,False,False,False,1e-06,0.001,,max_iters_or_stalled,-1.0,-1.0
SGD_Momentum,42,-0.3545447901553613,2.377043034636138,4.641147825168446e-05,0.0061223376542329,0.9932525753974916,0.9865237474441528,1000,False,False,True,1e-06,0.001,,converged_practical,-1.0,-1.0
Adam,42,-0.3545447901553613,2.377043034636138,0.0100615406408905,1.3342987298965454,0.9976611137390136,0.9887450337409972,1000,False,False,False,1e-06,0.001,,max_iters_or_stalled,-1.0,-1.0
Adam_NoBeta2,42,-0.3545447901553613,2.377043034636138,0.0100615406408905,1.3342987298965454,0.9976611137390136,0.9887450337409972,1000,False,False,False,1e-06,0.001,,max_iters_or_stalled,-1.0,-1.0
SAM_SGD,42,-0.3545447901553613,2.377043034636138,4.780097484588623,1.7509888410568235,-1.1852213144302368,1.4092947244644165,1000,False,False,False,1e-06,0.001,,max_iters_or_stalled,-1.0,-1.0
SGD,123,-0.2287995745078732,-1.5949758778694356,40.53958511352539,0.5967845320701599,-0.0279397126287221,-0.6269754767417908,1000,False,False,False,1e-06,0.001,,max_iters_or_stalled,-1.0,-1.0
SGD_Momentum,123,-0.2287995745078732,-1.5949758778694356,1.3724388736591209e-06,0.0010503409430384,0.9988396763801576,0.9976758360862732,1000,False,False,True,1e-06,0.001,,converged_practical,-1.0,-1.0
Adam,123,-0.2287995745078732,-1.5949758778694356,0.0285545028746128,1.3160208463668823,0.9885647296905518,0.970248520374298,1000,False,False,False,1e-06,0.001,,max_iters_or_stalled,-1.0,-1.0
Adam_NoBeta2,123,-0.2287995745078732,-1.5949758778694356,0.0285545028746128,1.3160208463668823,0.9885647296905518,0.970248520374298,1000,False,False,False,1e-06,0.001,,max_iters_or_stalled,-1.0,-1.0
SAM_SGD,123,-0.2287995745078732,-1.5949758778694356,6.507535934448242,0.2322748154401779,-0.0047015841118991,-0.2339932173490524,1000,False,False,False,1e-06,0.001,,max_iters_or_stalled,-1.0,-1.0
SGD,456,-0.5527396448093915,3.425921292652273,5.910426139831543,1.604088306427002,-1.429427981376648,2.050835371017456,1000,False,False,False,1e-06,0.001,,max_iters_or_stalled,-1.0,-1.0
SGD_Momentum,456,-0.5527396448093915,3.425921292652273,0.000157628339366,0.0113346809521317,0.9875664710998536,0.9752374887466432,1000,False,False,True,1e-06,0.001,,converged_practical,-1.0,-1.0
Adam,456,-0.5527396448093915,3.425921292652273,0.0087903039529919,1.3356707096099854,0.9982560873031616,0.9900315403938292,1000,False,False,False,1e-06,0.001,,max_iters_or_stalled,-1.0,-1.0
Adam_NoBeta2,456,-0.5527396448093915,3.425921292652273,0.0087903039529919,1.3356707096099854,0.9982560873031616,0.9900315403938292,1000,False,False,False,1e-06,0.001,,max_iters_or_stalled,-1.0,-1.0
SAM_SGD,456,-0.5527396448093915,3.425921292652273,6.78120756149292,2.863150358200073,-1.5977065563201904,2.5582475662231445,1000,False,False,False,1e-06,0.001,,max_iters_or_stalled,-1.0,-1.0
SGD,789,2.609899980443905,2.070403397009777,0.2189184129238128,0.3016246855258941,1.4675722122192385,2.1551952362060547,1000,False,False,False,1e-06,0.001,,max_iters_or_stalled,-1.0,-1.0
SGD_Momentum,789,2.609899980443905,2.070403397009777,5.659155704051955e-06,0.0021223276853561,1.0023565292358398,1.004727840423584,1000,False,False,True,1e-06,0.001,,converged_practical,-1.0,-1.0
Adam,789,2.609899980443905,2.070403397009777,1.3872869430997525e-07,0.0155179193243384,1.0013929605484009,0.998334527015686,466,True,True,True,1e-06,0.001,,converged_strict,465.0,465.0
Adam_NoBeta2,789,2.609899980443905,2.070403397009777,1.3872869430997525e-07,0.0155179193243384,1.0013929605484009,0.998334527015686,466,True,True,True,1e-06,0.001,,converged_strict,465.0,465.0
SAM_SGD,789,2.609899980443905,2.070403397009777,0.2296793907880783,2.43855094909668,1.4551798105239868,2.1188864707946777,1000,False,False,False,1e-06,0.001,,max_iters_or_stalled,-1.0,-1.0
SGD,1011,0.6610250960388848,3.981886630675601,0.6583906412124634,3.552651882171631,1.806693434715271,3.272963762283325,1000,False,False,False,1e-06,0.001,,max_iters_or_stalled,-1.0,-1.0
SGD_Momentum,1011,0.6610250960388848,3.981886630675601,0.0561342202126979,1.8473501205444336,1.2305426597595217,1.504404067993164,1000,False,False,False,1e-06,0.001,,max_iters_or_stalled,-1.0,-1.0
Adam,1011,0.6610250960388848,3.981886630675601,9.83826339506777e-07,0.0050978963263332,1.0009557008743286,1.0019007921218872,581,True,True,True,1e-06,0.001,,converged_strict,580.0,580.0
Adam_NoBeta2,1011,0.6610250960388848,3.981886630675601,9.83826339506777e-07,0.0050978963263332,1.0009557008743286,1.0019007921218872,581,True,True,True,1e-06,0.001,,converged_strict,580.0,580.0
SAM_SGD,1011,0.6610250960388848,3.981886630675601,0.7685538530349731,3.6537232398986816,1.8390653133392327,3.381976127624512,1000,False,False,False,1e-06,0.001,,max_iters_or_stalled,-1.0,-1.0
SGD,1213,2.60939816368429,1.124642485902999,0.0416028387844562,0.1563734710216522,1.203779935836792,1.4498082399368286,1000,False,False,False,1e-06,0.001,,max_iters_or_stalled,-1.0,-1.0
SGD_Momentum,1213,2.60939816368429,1.124642485902999,0.0014504077844321,1.346771240234375,1.0041182041168213,1.0025838613510132,1000,False,False,False,1e-06,0.001,,max_iters_or_stalled,-1.0,-1.0
