optimizer,seed,initial_x,initial_y,final_loss,final_grad_norm,final_x,final_y,iterations,converged,converged_strict,converged_practical,strict_convergence_threshold,practical_convergence_threshold,error,run_status,converged_epoch,converged_iteration
Adam,1213,2.60939816368429,1.124642485902999,0.0019064516527578,1.3384093046188354,0.9962645769119264,0.9961292147636414,1000,False,False,False,1e-06,0.001,,max_iters_or_stalled,-1.0,-1.0
Adam_NoBeta2,1213,2.60939816368429,1.124642485902999,0.0019064516527578,1.3384093046188354,0.9962645769119264,0.9961292147636414,1000,False,False,False,1e-06,0.001,,max_iters_or_stalled,-1.0,-1.0
SAM_SGD,1213,2.60939816368429,1.124642485902999,0.0473066642880439,1.805089354515076,1.2127176523208618,1.4671061038970947,1000,False,False,False,1e-06,0.001,,max_iters_or_stalled,-1.0,-1.0
SGD,1415,-0.0018640228303556,-1.3087847651263622,26.63927459716797,0.4811267852783203,0.0049386173486709,-0.5059441328048706,1000,False,False,False,1e-06,0.001,,max_iters_or_stalled,-1.0,-1.0
SGD_Momentum,1415,-0.0018640228303556,-1.3087847651263622,1.379030891257571e-06,0.0010504998499527,0.9988368153572084,0.9976702928543092,1000,False,False,True,1e-06,0.001,,converged_practical,-1.0,-1.0
Adam,1415,-0.0018640228303556,-1.3087847651263622,0.0022502350620925,1.3332335948944092,0.9907310009002686,0.9937997460365297,1000,False,False,False,1e-06,0.001,,max_iters_or_stalled,-1.0,-1.0
Adam_NoBeta2,1415,-0.0018640228303556,-1.3087847651263622,0.0022502350620925,1.3332335948944092,0.9907310009002686,0.9937997460365297,1000,False,False,False,1e-06,0.001,,max_iters_or_stalled,-1.0,-1.0
SAM_SGD,1415,-0.0018640228303556,-1.3087847651263622,4.489468574523926,0.1875995993614196,0.0101139778271317,-0.1868614256381988,1000,False,False,False,1e-06,0.001,,max_iters_or_stalled,-1.0,-1.0
SGD,1617,-2.6593239834060025,2.250395929099477,5.049291610717773,1.6730154752731323,-1.245098114013672,1.5580323934555054,1000,False,False,False,1e-06,0.001,,max_iters_or_stalled,-1.0,-1.0
SGD_Momentum,1617,-2.6593239834060025,2.250395929099477,0.0002600949082989,0.0146010108292102,0.9840295314788818,0.9682499170303344,1000,False,False,True,1e-06,0.001,,converged_practical,-1.0,-1.0
Adam,1617,-2.6593239834060025,2.250395929099477,0.0150724938139319,1.3370059728622437,1.000593900680542,0.9897286891937256,1000,False,False,False,1e-06,0.001,,max_iters_or_stalled,-1.0,-1.0
Adam_NoBeta2,1617,-2.6593239834060025,2.250395929099477,0.0150724938139319,1.3370059728622437,1.000593900680542,0.9897286891937256,1000,False,False,False,1e-06,0.001,,max_iters_or_stalled,-1.0,-1.0
SAM_SGD,1617,-2.6593239834060025,2.250395929099477,6.103165149688721,2.495229721069336,-1.4650169610977173,2.166935682296753,1000,False,False,False,1e-06,0.001,,max_iters_or_stalled,-1.0,-1.0
SGD,1819,0.6301454118913838,1.8070654337679968,0.0321223512291908,0.1398495733737945,1.1790568828582764,1.3908188343048096,1000,False,False,False,1e-06,0.001,,max_iters_or_stalled,-1.0,-1.0
SGD_Momentum,1819,0.6301454118913838,1.8070654337679968,9.844553687798907e-07,0.0008885883726179,1.0009829998016355,1.0019704103469849,776,True,True,True,1e-06,0.001,,converged_strict,775.0,775.0
Adam,1819,0.6301454118913838,1.8070654337679968,0.0066911806352436,1.3355674743652344,0.998524248600006,0.989612340927124,1000,False,False,False,1e-06,0.001,,max_iters_or_stalled,-1.0,-1.0
Adam_NoBeta2,1819,0.6301454118913838,1.8070654337679968,0.0066911806352436,1.3355674743652344,0.998524248600006,0.989612340927124,1000,False,False,False,1e-06,0.001,,max_iters_or_stalled,-1.0,-1.0
SAM_SGD,1819,0.6301454118913838,1.8070654337679968,0.0280521661043167,1.7137188911437988,1.1704072952270508,1.3618041276931765,1000,False,False,False,1e-06,0.001,,max_iters_or_stalled,-1.0,-1.0
SGD,2021,-2.962322375748561,2.015272070304243,5.082551956176758,1.6699824333190918,-1.2524985074996948,1.5765076875686646,1000,False,False,False,1e-06,0.001,,max_iters_or_stalled,-1.0,-1.0
SGD_Momentum,2021,-2.962322375748561,2.015272070304243,0.0002253634884255,0.0135798892006278,0.9851338267326356,0.9704286456108092,1000,False,False,True,1e-06,0.001,,converged_practical,-1.0,-1.0
Adam,2021,-2.962322375748561,2.015272070304243,0.0157996211200952,1.3259552717208862,0.9900387525558472,0.9834555983543396,1000,False,False,False,1e-06,0.001,,max_iters_or_stalled,-1.0,-1.0
Adam_NoBeta2,2021,-2.962322375748561,2.015272070304243,0.0157996211200952,1.3259552717208862,0.9900387525558472,0.9834555983543396,1000,False,False,False,1e-06,0.001,,max_iters_or_stalled,-1.0,-1.0
SAM_SGD,2021,-2.962322375748561,2.015272070304243,5.955803394317627,2.392327070236206,-1.436904788017273,2.0698721408843994,1000,False,False,False,1e-06,0.001,,max_iters_or_stalled,-1.0,-1.0
