iteration,loss,grad_norm,x,y
0,2338.1806640625,3.3095312118530273,-2.652818441390991,2.251617431640625
1,2303.758056640625,3.3055670261383057,-2.6404664516448975,2.253939390182495
2,2239.32177734375,3.2980611324310303,-2.622868537902832,2.2572548389434814
3,2149.58447265625,3.2874176502227783,-2.600571393966675,2.2614681720733643
4,2039.3170166015625,3.2740159034729004,-2.574073314666748,2.2664945125579834
5,1913.1749267578125,3.258216381072998,-2.543828010559082,2.272258996963501
6,1775.552490234375,3.2403523921966553,-2.5102477073669434,2.2786948680877686
7,1630.4923095703125,3.2207374572753906,-2.473707675933838,2.285743474960327
8,1481.62841796875,3.199660539627075,-2.4345486164093018,2.2933528423309326
9,1332.1546630859375,3.1773903369903564,-2.393080234527588,2.3014771938323975
10,1184.819091796875,3.1541762351989746,-2.349583148956299,2.3100767135620117
11,1041.927978515625,3.1302456855773926,-2.304311752319336,2.3191165924072266
12,905.36865234375,3.1058106422424316,-2.2574965953826904,2.328566789627075
13,776.6410522460938,3.0810649394989014,-2.209345817565918,2.3384010791778564
14,656.8870849609375,3.056185245513916,-2.160047769546509,2.348597526550293
15,546.9315185546875,3.0313363075256348,-2.109771966934204,2.359137535095215
16,447.31707763671875,3.0066661834716797,-2.058671474456787,2.3700056076049805
17,358.3436584472656,2.982311964035034,-2.0068836212158203,2.3811893463134766
18,280.1021423339844,2.9583988189697266,-1.9545316696166992,2.39267897605896
19,212.50917053222656,2.93503999710083,-1.9017261266708374,2.4044673442840576
20,155.3374481201172,2.912339210510254,-1.848565697669983,2.4165492057800293
21,108.24353790283203,2.890390157699585,-1.7951381206512451,2.4289214611053467
22,70.79279327392578,2.8692803382873535,-1.7415213584899902,2.441582441329956
23,42.481201171875,2.8490848541259766,-1.68778395652771,2.4545304775238037
24,22.754419326782227,2.82987380027771,-1.6339850425720215,2.467761993408203
25,11.024141311645508,2.811704397201538,-1.5801713466644287,2.481257915496826
26,6.681881904602051,2.794611930847168,-1.5262669324874878,2.4945428371429443
27,9.106246948242188,2.7781996726989746,-1.4830057621002197,2.504687786102295
28,15.491120338439941,2.76526141166687,-1.449296236038208,2.5120067596435547
29,22.936161041259766,2.7551045417785645,-1.4241548776626587,2.516763210296631
30,29.744258880615234,2.747178077697754,-1.4067015647888184,2.519195318222046
31,34.99392318725586,2.7410671710968018,-1.396149754524231,2.519521951675415
32,38.26435089111328,2.7364656925201416,-1.3917967081069946,2.5179457664489746
33,39.459102630615234,2.7331535816192627,-1.3930144309997559,2.5146546363830566
