epoch,train_loss,loss,test_loss,test_acc,val_acc,optimizer,elapsed_seconds
1,1.1542176414171854,1.1542176414171854,0.5449383930206299,86.63,86.63,SAM_rho_0.02,1
2,0.4721476414362589,0.4721476414362589,0.3905266814231872,89.53,89.53,SAM_rho_0.02,2
3,0.3808826731681823,0.3808826731681823,0.3386710856437683,90.6,90.6,SAM_rho_0.02,3
