phase,epoch,batch,global_step,train_loss,grad_norm,update_norm,lr,layer,layer_grad_norm,test_loss,test_accuracy
train,1,1.0,1,2.3189635276794434,1.988312840461731,0.4511361592967829,0.001,,,,
train,1,2.0,2,2.102470874786377,1.7300602197647095,0.33204977083039666,0.001,,,,
train,1,3.0,3,1.8937485218048096,1.762637972831726,0.30333110779699657,0.001,,,,
train,1,4.0,4,1.721765160560608,1.8590396642684937,0.27490901284814273,0.001,,,,
train,1,5.0,5,1.5883489847183228,1.7994474172592163,0.25671829456959927,0.001,,,,
train,1,6.0,6,1.4261796474456787,1.4966801404953003,0.24444479277561224,0.001,,,,
train,1,7.0,7,1.315613865852356,1.6330089569091797,0.23445691761489343,0.001,,,,
train,1,8.0,8,1.1574134826660156,1.43979811668396,0.22558853119275762,0.001,,,,
train,1,9.0,9,1.062084436416626,1.4292526245117188,0.22110577267946616,0.001,,,,
train,1,10.0,10,0.8374893665313721,1.395771861076355,0.2121986075558498,0.001,,,,
train,1,11.0,11,0.7927635312080383,1.1285418272018433,0.20206411330867657,0.001,,,,
train,1,12.0,12,0.9393329620361328,1.7925994396209717,0.1892251669502897,0.001,,,,
train,1,13.0,13,0.7837191820144653,1.7595679759979248,0.17850886524987783,0.001,,,,
train,1,14.0,14,0.7136467695236206,1.742124319076538,0.1761227464173584,0.001,,,,
train,1,15.0,15,0.6612633466720581,1.236157774925232,0.16809523901261544,0.001,,,,
train,1,16.0,16,0.616319477558136,0.9578819870948792,0.15953835682064285,0.001,,,,
train,1,17.0,17,0.5315772891044617,1.5785967111587524,0.14827285799493328,0.001,,,,
train,1,18.0,18,0.6627688407897949,1.6202360391616821,0.13934442543816203,0.001,,,,
train,1,19.0,19,0.5737615823745728,1.0986181497573853,0.1342857684600128,0.001,,,,
train,1,20.0,20,0.5324536561965942,1.8534431457519531,0.12961368619248034,0.001,,,,
train,1,21.0,21,0.5171574354171753,1.3833272457122803,0.12587403746085882,0.001,,,,
train,1,22.0,22,0.5251324772834778,1.5857704877853394,0.12463907794452384,0.001,,,,
train,1,23.0,23,0.40003854036331177,1.575247049331665,0.11752387009471661,0.001,,,,
train,1,24.0,24,0.44549310207366943,2.3219573497772217,0.10637061007015616,0.001,,,,
train,1,25.0,25,0.5115293860435486,2.00832200050354,0.10885563281394953,0.001,,,,
train,1,26.0,26,0.4463376998901367,1.4130170345306396,0.11243156053145999,0.001,,,,
train,1,27.0,27,0.34088173508644104,1.1738871335983276,0.11138284445402996,0.001,,,,
train,1,28.0,28,0.5440540909767151,1.6169887781143188,0.10261016000455758,0.001,,,,
train,1,29.0,29,0.3943919241428375,1.3577879667282104,0.09918238816319107,0.001,,,,
train,1,30.0,30,0.4391721785068512,2.6866872310638428,0.10046617606423845,0.001,,,,
train,1,31.0,31,0.36938971281051636,1.270784616470337,0.09584820808270239,0.001,,,,
train,1,32.0,32,0.390616238117218,1.5319842100143433,0.09844188801982294,0.001,,,,
train,1,33.0,33,0.3356056809425354,1.47432279586792,0.0943918352482574,0.001,,,,
train,1,34.0,34,0.3959013819694519,1.2841099500656128,0.08870110763114601,0.001,,,,
train,1,35.0,35,0.4407905340194702,1.2392240762710571,0.09006201802150904,0.001,,,,
train,1,36.0,36,0.4020298719406128,1.807446002960205,0.08236144978239002,0.001,,,,
train,1,37.0,37,0.33266010880470276,1.6435599327087402,0.08351253481577384,0.001,,,,
train,1,38.0,38,0.43019863963127136,1.5673240423202515,0.08682858647794452,0.001,,,,
train,1,39.0,39,0.39424383640289307,1.2004098892211914,0.08376365541201992,0.001,,,,
train,1,40.0,40,0.2844543159008026,1.7237964868545532,0.0867942915474515,0.001,,,,
train,1,41.0,41,0.4400676488876343,1.3111751079559326,0.0856213381074736,0.001,,,,
train,1,42.0,42,0.2344866245985031,1.0893847942352295,0.07918431687377604,0.001,,,,
train,1,43.0,43,0.39667147397994995,1.6980714797973633,0.07455751060722725,0.001,,,,
train,1,44.0,44,0.32747557759284973,1.3855196237564087,0.07736693578661832,0.001,,,,
train,1,45.0,45,0.4486951231956482,1.2916977405548096,0.07717258817778583,0.001,,,,
train,1,46.0,46,0.35959044098854065,1.5636515617370605,0.08097925447429832,0.001,,,,
train,1,47.0,47,0.3047826290130615,1.2934274673461914,0.08510883620339235,0.001,,,,
train,1,48.0,48,0.26364243030548096,0.9952747821807861,0.07720818479479957,0.001,,,,
train,1,49.0,49,0.3245234489440918,1.141547679901123,0.07612660561161384,0.001,,,,
train,1,50.0,50,0.4165225028991699,1.2457200288772583,0.07432328643496107,0.001,,,,
train,1,51.0,51,0.3430241644382477,1.6351487636566162,0.07507908650374681,0.001,,,,
train,1,52.0,52,0.4507104158401489,1.3876526355743408,0.07693118520197048,0.001,,,,
train,1,53.0,53,0.4405815005302429,1.8051306009292603,0.08493964420167296,0.001,,,,
train,1,54.0,54,0.306685209274292,1.2646454572677612,0.07436527347849502,0.001,,,,
train,1,55.0,55,0.4484807252883911,1.5281740427017212,0.07297000096925321,0.001,,,,
