epoch,optimizer,seed,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,final_test_acc
1,SGD_Momentum,2021,1.6476107917048715,38.80888888888889,1.338899689912796,51.14,0.5822633542120457,82.47,82.47
2,SGD_Momentum,2021,1.1522918274118141,58.61555555555555,1.1607294887304307,60.28,0.5822633542120457,82.47,82.47
3,SGD_Momentum,2021,0.8827443133023652,69.04,0.9462491601705552,66.06,0.5822633542120457,82.47,82.47
4,SGD_Momentum,2021,0.7316648535091769,74.40666666666667,0.783720725774765,72.22,0.5822633542120457,82.47,82.47
5,SGD_Momentum,2021,0.6336796680804003,78.0,0.6208831995725632,78.38,0.5822633542120457,82.47,82.47
6,SGD_Momentum,2021,0.5590164305811579,80.66888888888889,0.6580482020974159,77.14,0.5822633542120457,82.47,82.47
7,SGD_Momentum,2021,0.5040271614932201,82.62666666666667,0.5744933158159256,79.86,0.5822633542120457,82.47,82.47
8,SGD_Momentum,2021,0.46156033441763034,84.08222222222223,0.6258527681231498,78.48,0.5822633542120457,82.47,82.47
9,SGD_Momentum,2021,0.41668641656129196,85.54888888888888,0.51499724984169,82.2,0.5822633542120457,82.47,82.47
10,SGD_Momentum,2021,0.3884999443438243,86.7088888888889,0.6218649238348007,79.12,0.5822633542120457,82.47,82.47
11,SGD_Momentum,2021,0.3591981252062727,87.49111111111111,0.44613560736179353,84.6,0.5822633542120457,82.47,82.47
12,SGD_Momentum,2021,0.338545055128634,88.28666666666666,0.4620183140039444,84.12,0.5822633542120457,82.47,82.47
13,SGD_Momentum,2021,0.31748230052603915,88.92444444444445,0.47628261893987656,83.94,0.5822633542120457,82.47,82.47
14,SGD_Momentum,2021,0.2974835226566277,89.77555555555556,0.5231276407837868,83.08,0.5822633542120457,82.47,82.47
15,SGD_Momentum,2021,0.281318974702365,90.36444444444444,0.41940454840660096,85.68,0.5822633542120457,82.47,82.47
16,SGD_Momentum,2021,0.2628406970338388,90.85777777777778,0.42134104669094086,85.88,0.5822633542120457,82.47,82.47
17,SGD_Momentum,2021,0.25122715266082773,91.42444444444445,0.4812713250517845,83.9,0.5822633542120457,82.47,82.47
18,SGD_Momentum,2021,0.24070811877027154,91.58444444444444,0.38804761916399,86.64,0.5822633542120457,82.47,82.47
19,SGD_Momentum,2021,0.22590647153133017,92.13111111111111,0.45546368807554244,85.0,0.5822633542120457,82.47,82.47
20,SGD_Momentum,2021,0.2154029194815931,92.57333333333334,0.54186010658741,83.26,0.5822633542120457,82.47,82.47
