optimizer,seed,start_point,initial_x,initial_y,final_x,final_y,final_loss,final_grad_norm,iterations,converged,converged_iteration,run_status,error,converged_epoch
Adam,42,0,-1.5,2.0,0.990199089050293,0.9804644584655762,9.942597534973174e-05,0.0100344447419047,423,True,422.0,error_exception,0.0,422.0
Adam,42,1,1.5,-2.0,0.990180253982544,0.980415403842926,9.858705016085878e-05,0.008995140902698,558,True,557.0,error_exception,0.0,557.0
Adam,42,2,0.5,0.5,0.9902381896972656,0.9805340766906738,9.824554581427948e-05,0.0089766010642051,359,True,358.0,error_exception,0.0,358.0
Adam,42,3,-0.5,-0.5,0.9902086853981018,0.9804705381393432,9.836264507612212e-05,0.0090024033561348,450,True,449.0,error_exception,0.0,449.0
Adam,42,4,2.0,-1.0,0.9901791214942932,0.9804185032844543,9.876355034066364e-05,0.0090818684548139,498,True,497.0,error_exception,0.0,497.0
Adam,42,5,-2.0,1.0,0.9901706576347352,0.9804073572158812,9.952658729162069e-05,0.0099049247801303,491,True,490.0,error_exception,0.0,490.0
Adam,42,6,0.0,0.0,0.9904043674468994,0.9808672070503236,9.722967661218718e-05,0.057090051472187,244,True,243.0,error_exception,0.0,243.0
Adam,42,7,1.0,1.0,1.0,1.0,0.0,0.0,1,True,0.0,error_exception,0.0,0.0
Adam,42,8,-1.0,-1.0,0.9901873469352722,0.980429708957672,9.85797742032446e-05,0.0090006459504365,503,True,502.0,error_exception,0.0,502.0
Adam,42,9,0.5,-0.5,0.9901801943778992,0.9805968403816224,9.898183634504676e-05,0.0574239380657672,451,True,450.0,error_exception,0.0,450.0
SAM_Adam,42,0,-1.5,2.0,0.9477522373199464,0.9040745496749878,0.0027809687890112,9.999999046325684,20000,False,-1.0,error_exception,0.0,-1.0
SAM_Adam,42,1,1.5,-2.0,0.9477514624595642,0.9040735363960266,0.0027808540035039,9.999998092651367,20000,False,-1.0,error_exception,0.0,-1.0
SAM_Adam,42,2,0.5,0.5,0.9147531986236572,0.82177734375,0.0160732809454202,9.999999046325684,20000,False,-1.0,error_exception,0.0,-1.0
SAM_Adam,42,3,-0.5,-0.5,0.9127023220062256,0.8238489627838135,0.0256984215229749,9.999999046325684,20000,False,-1.0,error_exception,0.0,-1.0
SAM_Adam,42,4,2.0,-1.0,0.93165922164917,0.8796141147613525,0.0051579102873802,9.999999046325684,20000,False,-1.0,error_exception,0.0,-1.0
SAM_Adam,42,5,-2.0,1.0,0.9503835439682008,0.9014415740966796,0.0061399433761835,10.0,20000,False,-1.0,error_exception,0.0,-1.0
SAM_Adam,42,6,0.0,0.0,0.9316747784614564,0.8796874284744263,0.0051258336752653,9.999999046325684,20000,False,-1.0,error_exception,0.0,-1.0
SAM_Adam,42,7,1.0,1.0,1.0,1.0,0.0,0.0,1,True,0.0,error_exception,0.0,0.0
