iteration,loss,grad_norm
0,2.1632065773010254,2.963207244873047
1,1.838679552078247,2.7315077781677246
2,1.5538350343704224,2.510181188583374
3,1.305859088897705,2.299769878387451
4,1.0918716192245483,2.101123809814453
5,0.9084279537200928,1.9145848751068115
6,0.752066969871521,1.7401738166809082
7,0.619705080986023,1.577912449836731
8,0.5086050033569336,1.42792809009552
9,0.4162055850028991,1.290316104888916
10,0.3400654196739197,1.165053367614746
11,0.2779137194156647,1.0520581007003784
12,0.2277039140462875,0.951264500617981
13,0.187596246600151,0.862565815448761
14,0.1559236198663711,0.7857099175453186
15,0.1311953514814376,0.7202510237693787
16,0.1121091619133949,0.6655545830726624
17,0.0975442081689834,0.620794951915741
18,0.0865305289626121,0.5849051475524902
19,0.0782220736145973,0.556553304195404
20,0.0718916878104209,0.5342106819152832
21,0.0669398382306099,0.5163045525550842
22,0.0629003122448921,0.501387357711792
23,0.0594289079308509,0.4882399141788482
24,0.0562820322811603,0.4759041965007782
25,0.0532944351434707,0.4636790454387665
26,0.0503634884953498,0.45110884308815
27,0.0474355667829513,0.4379549026489258
28,0.0444894097745418,0.4241295158863067
29,0.0415194556117057,0.4096118509769439
30,0.0385266207158565,0.3943917155265808
31,0.0355193763971328,0.3784690499305725
32,0.0325186625123024,0.3618881702423095
33,0.0295572951436042,0.3447563946247101
34,0.0266731195151805,0.3272311687469482
35,0.0239043682813644,0.3095091879367828
36,0.0212887413799762,0.2918320596218109
37,0.0188603959977626,0.2744732797145843
38,0.0166430287063121,0.2576850652694702
39,0.0146462079137563,0.2416546642780304
40,0.0128711685538291,0.2265276908874511
41,0.0113173723220825,0.2124586999416351
42,0.0099803134799003,0.199593186378479
43,0.0088439686223864,0.1879820525646209
44,0.0078804586082696,0.1775436252355575
45,0.0070593771524727,0.1681322902441024
46,0.0063565289601683,0.15963114798069
47,0.0057553867809474,0.1519780904054641
48,0.0052446038462221,0.1451461464166641
49,0.0048159477300941,0.1391266882419586
50,0.0044614281505346,0.1338993459939956
51,0.0041692312806844,0.1293765306472778
52,0.0039226235821843,0.1253811866044998
53,0.0037036859430372,0.1216971725225448
54,0.0034976582974195,0.1181346178054809
55,0.0032939878292381,0.1145441234111785
56,0.0030852099880576,0.1107964515686035
57,0.0028664709534496,0.1067762821912765
58,0.0026359348557889,0.1023976132273674
59,0.0023950638715177,0.0976227298378944
60,0.002148391213268,0.0924741476774215
61,0.0019025463843718,0.0870311632752418
62,0.001664730370976,0.0814096257090568
63,0.001441590138711,0.0757451653480529
64,0.0012388131581246,0.0701906383037567
65,0.0010604442795738,0.0649037286639213
66,0.0009078435250557,0.0600094646215438
67,0.0007796257268637,0.055571898818016
68,0.0006729828310199,0.0516056790947914
69,0.0005850450834259,0.0481041558086872
70,0.0005133444210514,0.0450544543564319
71,0.0004558238142635,0.0424457490444183
72,0.0004107115091755,0.0402736477553844
73,0.0003761913976632,0.0385256111621856
74,0.0003501045284792,0.037156093865633
75,0.0003299829841125,0.0360769443213939
76,0.0003132877754978,0.0351681672036647
77,0.0002977432450279,0.0343049839138984
78,0.0002817921049427,0.0333946868777275
79,0.0002647920628078,0.0323955602943897
80,0.0002466998121235,0.0312993228435516
81,0.0002276690502185,0.0301044657826423
82,0.0002079682308249,0.0288112349808216
83,0.0001879863993963,0.0274263713508844
84,0.000168123297044,0.0259607620537281
85,0.0001487786212237,0.0244318190962076
86,0.0001304682518821,0.0228752102702856
87,0.0001137878207373,0.0213464647531509
88,9.921072341967374e-05,0.0199065282940864
89,8.695589349372312e-05,0.0186067782342433
90,7.698305853409693e-05,0.0174798294901847
91,6.90389788360335e-05,0.0165330357849597
92,6.27385379630141e-05,0.0157489795237779
93,5.765875175711699e-05,0.0150942150503396
94,5.3399737225845456e-05,0.0145288752391934
95,4.96269749419298e-05,0.0140145756304264
96,4.610258474713192e-05,0.0135205145925283
97,4.268056727596559e-05,0.013024428859353
98,3.9276354073081166e-05,0.0125100212171673
99,3.584646401577629e-05,0.011965800076723
100,3.2385978556703776e-05,0.0113859931007027
101,2.8938269679201767e-05,0.0107728699222207
102,2.559258064138703e-05,0.0101378168910741
103,2.244248025817797e-05,0.0094960080459713
104,1.954318577190861e-05,0.0088592413812875
105,1.692258047114592e-05,0.0082375900819897
106,1.4609347090299709e-05,0.0076452391222119
107,1.262870864593424e-05,0.0070994645357131
108,1.0992552233801687e-05,0.0066171260550618
109,9.69877692114096e-06,0.0062125762924551
110,8.715293915884104e-06,0.0058898250572383
111,7.971369996084832e-06,0.0056357374414801
112,7.386699508060701e-06,0.0054280972108244
113,6.902244876982877e-06,0.005248496774584
114,6.482324351964053e-06,0.0050858277827501
115,6.106083219492575e-06,0.0049344012513756
116,5.758828137913952e-06,0.0047906110994517
117,5.423804395832121e-06,0.0046490184031426
118,5.085184966446832e-06,0.0045029749162495
119,4.732980869448511e-06,0.0043467073701322
120,4.357747911853949e-06,0.0041733579710125
121,3.951907274313271e-06,0.0039759175851941
122,3.520734480844112e-06,0.0037533075083047
123,3.0817957394901896e-06,0.0035115303471684
124,2.65502148977248e-06,0.0032595864031463
125,2.2600070224143565e-06,0.0030084419995546
126,1.9148103547195205e-06,0.002771035535261
127,1.6302906260534655e-06,0.0025588932912796
128,1.4078838148634532e-06,0.0023793785367161
129,1.2419482118275482e-06,0.0022352677769958
130,1.1219359521419392e-06,0.0021242185030132
131,1.0353675179430866e-06,0.0020398658234626
132,9.711233133202768e-07,0.0019747125916182
